product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
1,1,HT-00001,AI Edge Gateway Reference Kit,AI Edge Gateway Reference Kit for edge computing workflows across High Tech operations.,Edge Computing,AI Inference,1495,620,1.8,1,2026-04-17,"edge-computing,ai-inference,high-tech,npi",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
2,2,HT-00002,Private 5G Factory Starter Pack,Private 5G Factory Starter Pack for connectivity workflows across High Tech operations.,Connectivity,Industrial IoT,9800,4100,14.2,1,2026-04-16,"connectivity,industrial-iot,high-tech,supplier-risk",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
3,3,HT-00003,Secure Device Fleet Manager,Secure Device Fleet Manager for platform software workflows across High Tech operations.,Platform Software,Device Management,420,95,0.001,1,2026-04-15,"platform-software,device-management,high-tech,customer-commitments",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
4,4,HT-00004,Cloud GPU Burst Reservation,Cloud GPU Burst Reservation for cloud infrastructure workflows across High Tech operations.,Cloud Infrastructure,Accelerated Compute,3800,1520,0.001,1,2026-04-14,"cloud-infrastructure,accelerated-compute,high-tech,npi",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
5,5,HT-00005,Autonomous Test Cell Controller,Autonomous Test Cell Controller for fab operations workflows across High Tech operations.,Fab Operations,Test Automation,12600,5400,8.4,1,2026-04-13,"fab-operations,test-automation,high-tech,supplier-risk",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
6,6,HT-00006,Wafer Start Planning Optimizer,Wafer Start Planning Optimizer for semiconductor manufacturing workflows across High Tech operations.,Semiconductor Manufacturing,Fab Planning,22500,8700,0.001,1,2026-04-12,"semiconductor-manufacturing,fab-planning,high-tech,customer-commitments",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
7,7,HT-00007,Yield Improvement Analytics Pack,Yield Improvement Analytics Pack for semiconductor manufacturing workflows across High Tech operations.,Semiconductor Manufacturing,Yield Analytics,18400,6900,0.001,1,2026-04-11,"semiconductor-manufacturing,yield-analytics,high-tech,npi",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
8,8,HT-00008,AI Accelerator Module,AI Accelerator Module for semiconductor manufacturing workflows across High Tech operations.,Semiconductor Manufacturing,Accelerator Silicon,7600,3300,0.22,1,2026-04-10,"semiconductor-manufacturing,accelerator-silicon,high-tech,supplier-risk",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
9,9,HT-00009,Thermal Control Sensor Array,Thermal Control Sensor Array for connected products workflows across High Tech operations.,Connected Products,Telemetry,870,310,0.4,1,2026-04-09,"connected-products,telemetry,high-tech,customer-commitments",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
10,10,HT-00010,Developer Portal Premium Seat,Developer Portal Premium Seat for platform software workflows across High Tech operations.,Platform Software,Developer Experience,540,80,0.001,1,2026-04-08,"platform-software,developer-experience,high-tech,npi",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
11,11,HT-00011,Digital Thread PLM Connector,Digital Thread PLM Connector for product lifecycle management workflows across High Tech operations.,Product Lifecycle Management,Digital Thread,3200,640,0.001,1,2026-04-07,"product-lifecycle-management,digital-thread,high-tech,supplier-risk",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
12,12,HT-00012,BOM Risk Reconciliation Service,BOM Risk Reconciliation Service for product lifecycle management workflows across High Tech operations.,Product Lifecycle Management,Bill of Materials,4100,920,0.001,1,2026-04-06,"product-lifecycle-management,bill-of-materials,high-tech,customer-commitments",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
13,1,HT-00013,Engineering Change Order Copilot,Engineering Change Order Copilot for product lifecycle management workflows across High Tech operations.,Product Lifecycle Management,ECO Workflow,2750,650,0.001,1,2026-04-05,"product-lifecycle-management,eco-workflow,high-tech,npi",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
14,2,HT-00014,NPI Launch Readiness Board,NPI Launch Readiness Board for product lifecycle management workflows across High Tech operations.,Product Lifecycle Management,New Product Introduction,5100,1120,0.001,1,2026-04-04,"product-lifecycle-management,new-product-introduction,high-tech,supplier-risk",2026-04-30T16:30:00Z,2026-05-05T16:30:00Z
