item_id,order_id,product_id,quantity,unit_price,fulfilled_from
1,1,46,2,185,22
2,1,76,1,9200,22
3,1,54,3,260,22
4,1,44,1,1400,22
5,1,65,1,640,22
6,2,18,3,21400,24
7,2,55,1,780,24
8,3,29,1,340,25
9,3,79,2,6800,25
10,3,65,2,640,25
11,3,40,1,520,25
12,3,54,3,260,25
13,4,77,3,12600,20
14,4,38,3,2850,20
15,4,20,3,1850,20
16,4,53,2,8200,20
17,4,14,3,1450,20
18,5,17,2,14800,9
19,5,52,1,920,9
20,5,65,2,640,9
21,5,7,1,95,9
22,5,40,2,520,9
23,6,60,1,1750,7
24,6,35,3,860,7
25,7,55,1,780,4
26,7,62,2,520,4
27,8,2,2,14200,
28,9,72,3,540,21
29,9,59,3,9400,21
30,9,54,2,260,21
31,9,62,2,520,21
32,10,25,2,920,22
33,11,26,3,2400,11
34,12,69,3,1450,27
35,13,47,2,72,21
36,13,37,3,7400,21
37,14,40,2,520,21
38,14,12,2,3250,21
39,14,2,2,14200,21
40,14,44,1,1400,21
41,15,68,3,780,25
42,15,39,3,1950,25
43,15,68,2,780,25
44,15,42,2,480,25
45,15,47,2,72,25
46,16,30,1,1320,
47,16,49,1,88,
48,17,39,2,1950,20
49,17,43,3,620,20
50,17,8,3,210,20
51,17,13,3,760,20
52,18,50,2,240,17
53,18,18,2,21400,17
54,18,34,3,2450,17
55,19,74,3,330,16
56,19,78,1,215,16
57,19,44,3,1400,16
58,19,42,2,480,16
59,20,34,3,2450,1
60,21,59,3,9400,2
61,21,73,2,680,2
62,21,24,1,8800,2
63,22,5,1,3900,5
64,22,29,2,340,5
65,22,51,3,340,5
66,23,17,1,14800,8
67,23,36,2,6200,8
68,23,48,1,126,8
69,24,4,2,11800,
70,24,53,1,8200,
71,24,58,3,1180,
72,24,73,2,680,
73,25,79,2,6800,22
74,25,7,1,95,22
75,25,78,3,215,22
76,25,39,1,1950,22
77,26,34,1,2450,19
78,26,8,2,210,19
79,27,75,2,1180,9
80,27,34,1,2450,9
81,28,57,1,7600,25
82,29,19,3,4200,24
83,29,20,1,1850,24
84,29,41,1,2200,24
85,29,48,3,126,24
86,29,65,1,640,24
87,30,24,1,8800,25
88,30,30,1,1320,25
89,30,74,3,330,25
90,30,65,3,640,25
91,31,76,2,9200,1
92,32,49,3,88,
93,32,16,3,52000,
94,32,59,1,9400,
95,32,48,1,126,
96,33,72,3,540,3
97,33,73,1,680,3
98,33,45,3,58,3
99,33,75,1,1180,3
100,34,55,3,780,16
101,34,51,2,340,16
102,34,39,2,1950,16
103,34,49,1,88,16
104,35,57,1,7600,16
105,35,42,3,480,16
106,35,59,1,9400,16
107,35,21,2,33400,16
108,36,23,1,1280,3
109,36,66,1,3200,3
110,37,5,2,3900,30
111,38,55,2,780,26
112,38,63,2,1480,26
113,38,64,2,260,26
114,39,11,2,1180,16
115,39,57,1,7600,16
116,40,43,2,620,
117,40,44,1,1400,
118,41,70,3,1180,6
119,41,79,2,6800,6
120,41,32,2,1180,6
121,42,73,2,680,18
122,42,27,2,8700,18
123,42,45,1,58,18
124,42,63,3,1480,18
125,43,22,1,640,17
126,43,7,3,95,17
127,43,44,3,1400,17
128,44,12,3,3250,22
129,44,37,2,7400,22
130,45,54,2,260,18
131,45,22,2,640,18
132,45,65,3,640,18
133,45,44,3,1400,18
134,46,8,1,210,8
135,46,24,3,8800,8
136,46,4,3,11800,8
137,46,25,2,920,8
138,47,23,3,1280,12
139,47,47,2,72,12
140,47,59,3,9400,12
141,48,30,1,1320,
142,48,46,2,185,
143,48,63,3,1480,
144,48,45,3,58,
145,48,60,2,1750,
146,49,45,1,58,24
147,49,18,3,21400,24
148,49,7,3,95,24
149,49,11,1,1180,24
150,49,41,2,2200,24
151,50,53,1,8200,10
152,50,77,1,12600,10
153,51,9,2,1280,18
154,51,57,3,7600,18
155,51,65,3,640,18
156,51,73,2,680,18
157,52,30,2,1320,30
158,52,76,3,9200,30
159,52,10,3,860,30
160,52,15,1,540,30
161,53,15,2,540,15
162,53,66,2,3200,15
163,53,46,3,185,15
164,53,78,1,215,15
165,53,40,2,520,15
166,54,36,1,6200,21
167,54,23,3,1280,21
168,55,40,1,520,5
169,55,40,1,520,5
170,55,21,2,33400,5
171,55,48,3,126,5
172,55,18,1,21400,5
173,56,57,3,7600,
174,56,30,3,1320,
175,57,51,1,340,26
176,58,1,3,18500,13
177,59,75,1,1180,9
178,59,27,2,8700,9
179,59,8,1,210,9
180,60,66,2,3200,27
181,60,41,1,2200,27
182,60,27,1,8700,27
183,60,62,3,520,27
184,60,18,3,21400,27
185,61,1,2,18500,3
186,61,9,3,1280,3
187,61,57,1,7600,3
188,61,1,1,18500,3
189,62,20,2,1850,12
190,63,18,2,21400,21
191,63,57,1,7600,21
192,64,75,2,1180,
193,65,35,1,860,16
194,65,53,1,8200,16
195,65,67,1,540,16
196,65,45,2,58,16
197,66,49,3,88,1
198,66,74,3,330,1
199,66,35,2,860,1
200,66,15,1,540,1
201,66,38,3,2850,1
202,67,31,1,3100,10
203,67,51,1,340,10
204,67,47,2,72,10
205,67,4,3,11800,10
206,68,61,2,390,3
207,68,9,3,1280,3
208,68,74,3,330,3
209,69,68,1,780,13
210,69,53,3,8200,13
211,69,73,2,680,13
212,70,79,3,6800,21
213,70,36,2,6200,21
214,70,40,1,520,21
215,70,40,1,520,21
216,71,57,3,7600,23
217,71,24,1,8800,23
218,71,55,2,780,23
219,71,47,3,72,23
220,71,63,1,1480,23
221,72,31,3,3100,
222,72,27,1,8700,
223,72,31,3,3100,
224,73,33,1,420,16
225,73,12,1,3250,16
226,73,54,1,260,16
227,73,4,1,11800,16
228,73,24,2,8800,16
229,74,23,1,1280,10
230,74,69,2,1450,10
231,74,50,1,240,10
232,75,79,2,6800,8
233,75,7,1,95,8
234,76,48,3,126,27
235,76,45,3,58,27
236,76,47,3,72,27
237,76,29,3,340,27
238,76,48,1,126,27
239,77,18,3,21400,9
240,78,6,3,720,7
241,79,45,2,58,11
242,79,71,2,2100,11
243,79,51,3,340,11
244,80,36,2,6200,
245,80,51,2,340,
246,80,32,1,1180,
247,80,76,3,9200,
248,80,30,3,1320,
249,81,56,3,5600,11
250,82,2,1,14200,15
251,82,67,3,540,15
252,82,8,2,210,15
253,83,62,2,520,17
254,83,65,3,640,17
255,83,69,1,1450,17
256,83,58,2,1180,17
257,84,31,2,3100,14
258,85,48,2,126,25
259,85,38,2,2850,25
260,85,13,3,760,25
261,85,46,1,185,25
262,85,19,1,4200,25
263,86,61,2,390,10
264,86,50,3,240,10
265,87,16,3,52000,10
266,87,77,2,12600,10
267,87,31,3,3100,10
268,87,42,2,480,10
269,87,66,1,3200,10
270,88,4,2,11800,
271,89,29,1,340,19
272,89,65,2,640,19
273,89,21,1,33400,19
274,90,78,2,215,4
275,90,56,1,5600,4
276,90,71,2,2100,4
277,90,28,1,680,4
278,90,27,2,8700,4
279,91,60,1,1750,12
280,91,57,3,7600,12
281,92,66,1,3200,14
282,93,54,1,260,4
283,94,7,2,95,27
284,94,58,3,1180,27
285,95,28,2,680,3
286,95,16,3,52000,3
287,95,76,1,9200,3
288,96,10,1,860,
289,97,29,1,340,14
290,97,1,2,18500,14
291,98,23,3,1280,21
292,98,42,3,480,21
293,99,72,3,540,26
294,99,35,1,860,26
295,99,76,2,9200,26
296,100,57,3,7600,11
297,100,61,1,390,11
298,100,59,2,9400,11
299,101,62,3,520,29
300,101,27,2,8700,29
301,101,59,1,9400,29
302,101,14,1,1450,29
303,102,50,3,240,6
304,102,60,2,1750,6
305,102,24,1,8800,6
306,103,79,2,6800,10
307,103,61,1,390,10
308,103,31,3,3100,10
309,103,7,3,95,10
310,104,46,3,185,
311,104,15,2,540,
312,104,14,3,1450,
313,104,67,1,540,
314,104,54,1,260,
315,105,39,1,1950,19
316,105,74,1,330,19
317,105,12,3,3250,19
318,106,39,1,1950,18
319,106,54,1,260,18
320,106,45,1,58,18
321,106,16,3,52000,18
322,107,48,3,126,1
323,107,39,1,1950,1
324,107,62,2,520,1
325,107,26,1,2400,1
326,108,8,1,210,17
327,108,46,3,185,17
328,108,17,2,14800,17
329,108,56,2,5600,17
330,109,74,3,330,4
331,109,54,2,260,4
332,110,41,3,2200,15
333,110,17,3,14800,15
334,110,72,2,540,15
335,110,67,1,540,15
336,111,28,2,680,13
337,111,26,1,2400,13
338,112,56,2,5600,
339,112,34,1,2450,
340,112,31,1,3100,
341,112,20,3,1850,
342,112,38,1,2850,
343,113,51,1,340,22
344,113,39,2,1950,22
345,113,4,3,11800,22
346,113,60,1,1750,22
347,114,26,3,2400,19
348,114,28,2,680,19
349,115,46,2,185,12
350,115,74,3,330,12
351,115,35,3,860,12
352,115,73,3,680,12
353,115,13,2,760,12
354,116,40,3,520,18
355,116,25,3,920,18
356,117,42,1,480,13
357,117,69,2,1450,13
358,117,38,1,2850,13
359,117,64,1,260,13
360,117,54,1,260,13
361,118,58,2,1180,14
362,118,24,2,8800,14
363,118,47,1,72,14
364,118,35,2,860,14
365,118,11,3,1180,14
366,119,9,2,1280,17
367,120,8,1,210,
368,121,5,1,3900,6
369,121,23,2,1280,6
370,121,18,1,21400,6
371,121,60,2,1750,6
372,121,54,1,260,6
373,122,53,3,8200,29
374,122,49,1,88,29
375,122,13,3,760,29
376,122,40,2,520,29
377,122,12,1,3250,29
378,123,33,2,420,10
379,123,66,1,3200,10
380,123,66,1,3200,10
381,123,31,3,3100,10
382,123,3,2,26400,10
383,124,56,2,5600,19
384,124,22,2,640,19
385,124,55,1,780,19
386,124,77,3,12600,19
387,124,41,3,2200,19
388,125,16,1,52000,2
389,125,23,3,1280,2
390,126,63,3,1480,4
391,127,22,2,640,29
392,127,47,1,72,29
393,127,74,3,330,29
394,127,34,3,2450,29
395,128,52,1,920,
396,128,73,1,680,
397,128,13,1,760,
398,129,42,2,480,8
399,129,17,1,14800,8
400,129,76,2,9200,8
401,129,25,3,920,8
402,130,28,3,680,28
403,130,38,3,2850,28
404,130,44,3,1400,28
405,131,28,3,680,7
406,132,46,3,185,22
407,132,33,3,420,22
408,132,5,2,3900,22
409,132,35,1,860,22
410,132,57,3,7600,22
411,133,48,3,126,23
412,133,10,3,860,23
413,133,2,1,14200,23
414,133,2,1,14200,23
415,133,29,1,340,23
416,134,19,1,4200,7
417,134,5,2,3900,7
418,135,59,1,9400,24
419,135,72,2,540,24
420,136,15,1,540,
421,136,9,1,1280,
422,136,7,3,95,
423,136,55,3,780,
424,137,37,2,7400,18
425,137,67,2,540,18
426,137,30,1,1320,18
427,138,72,2,540,1
428,138,43,2,620,1
429,138,34,2,2450,1
430,138,22,1,640,1
431,138,73,3,680,1
432,139,6,1,720,5
433,139,53,2,8200,5
434,139,27,1,8700,5
435,139,36,1,6200,5
436,140,69,3,1450,15
437,140,38,3,2850,15
438,141,20,2,1850,24
439,142,16,1,52000,24
440,142,2,2,14200,24
441,142,43,2,620,24
442,142,7,1,95,24
443,142,28,3,680,24
444,143,56,2,5600,29
445,143,28,1,680,29
446,143,18,3,21400,29
447,144,52,3,920,
448,144,65,2,640,
449,144,51,3,340,
450,145,26,2,2400,5
451,145,9,1,1280,5
452,145,26,2,2400,5
453,146,69,1,1450,13
454,147,10,2,860,3
455,147,28,1,680,3
456,147,58,1,1180,3
457,147,73,3,680,3
458,147,10,2,860,3
459,148,45,2,58,6
460,148,76,3,9200,6
461,148,40,2,520,6
462,149,79,3,6800,20
463,149,22,3,640,20
