order_id,customer_id,order_status,order_total,shipping_cost,fulfillment_center_id,shipping_lat,shipping_lon,estimated_delivery,actual_delivery,social_source_id,demand_score,created_at,updated_at
1,1,confirmed,18895,0,1,37.13,-121.7686,2026-05-06,,1,38.85,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
2,20,processing,27220,7.99,6,39.5224,-104.5264,2026-05-07,,12,64.05,2026-05-05T16:25:00Z,2026-05-05T16:30:00Z
3,39,shipped,93450,14.99,11,32.2051,-96.5264,2026-05-08,,23,93.31,2026-05-05T16:20:00Z,2026-05-05T16:30:00Z
4,58,delivered,39940,24.99,4,26.0586,-79.5607,2026-05-09,2026-05-05,34,57.38,2026-05-05T16:15:00Z,2026-05-05T16:30:00Z
5,77,pending,19548,0,9,42.7388,-71.6215,2026-05-10,,45,65.95,2026-05-05T16:10:00Z,2026-05-05T16:30:00Z
6,96,confirmed,68250,7.99,2,33.5114,-117.6368,2026-05-11,,56,57.37,2026-05-05T16:05:00Z,2026-05-05T16:30:00Z
7,115,processing,35140,14.99,7,47.3736,-122.5011,2026-05-12,,67,42.37,2026-05-05T16:00:00Z,2026-05-05T16:30:00Z
8,134,cancelled,29220,24.99,12,33.9548,-111.8975,2026-05-06,,78,43.79,2026-05-05T15:55:00Z,2026-05-05T16:30:00Z
9,153,confirmed,6760,0,5,36.0122,-79.0811,2026-05-07,,89,36.32,2026-05-05T15:50:00Z,2026-05-05T16:30:00Z
10,172,processing,39540,7.99,10,42.1462,-87.8902,2026-05-08,,100,96.34,2026-05-05T15:45:00Z,2026-05-05T16:30:00Z
11,191,shipped,30170,14.99,3,40.6437,-74.3877,2026-05-09,,111,49.5,2026-05-05T15:40:00Z,2026-05-05T16:30:00Z
12,210,delivered,36100,24.99,8,33.6444,-83.7781,2026-05-10,2026-05-05,122,55.58,2026-05-05T15:35:00Z,2026-05-05T16:30:00Z
13,229,pending,33250,0,,36.6937,-121.391,2026-05-11,,133,39.46,2026-05-05T15:30:00Z,2026-05-05T16:30:00Z
14,248,confirmed,25580,7.99,6,39.3612,-105.6737,2026-05-12,,144,41.02,2026-05-05T15:25:00Z,2026-05-05T16:30:00Z
15,267,processing,33500,14.99,11,32.4044,-96.3846,2026-05-06,,155,72.27,2026-05-05T15:20:00Z,2026-05-05T16:30:00Z
16,286,cancelled,25220,24.99,4,26.2239,-80.2107,2026-05-07,,166,74.96,2026-05-05T15:15:00Z,2026-05-05T16:30:00Z
17,305,confirmed,78500,0,9,42.5813,-70.7529,2026-05-08,,177,68.59,2026-05-05T15:10:00Z,2026-05-05T16:30:00Z
18,324,processing,12842,7.99,2,34.0901,-118.3328,2026-05-09,,188,88.12,2026-05-05T15:05:00Z,2026-05-05T16:30:00Z
19,343,shipped,62460,14.99,7,47.0862,-122.8454,2026-05-10,,199,82.8,2026-05-05T15:00:00Z,2026-05-05T16:30:00Z
