influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
1,@freight_mike,Freight Mike,instagram,936852,0.0439,86.2,Less-than-Truckload,New York,New York,US,1,2026-05-13T10:00:43Z
2,@freight_jen,Freight Jen,tiktok,947586,0.02,88.27,Final Mile,Los Angeles,California,US,1,2026-05-13T10:00:43Z
3,@freight_alex,Freight Alex,twitter,4612,0.0642,77.36,Time-Critical Freight,Chicago,Illinois,US,0,2026-05-13T10:00:43Z
4,@freight_zoe,Freight Zoe,youtube,25448,0.0669,88.42,Brokerage,Houston,Texas,US,0,2026-05-13T10:00:43Z
5,@freight_marcus,Freight Marcus,threads,7421,0.0865,94.2,Heavy Haul,Phoenix,Arizona,US,0,2026-05-13T10:00:43Z
6,@freight_lily,Freight Lily,instagram,43878,0.0661,92.47,Regional Distribution,San Francisco,California,US,0,2026-05-13T10:00:43Z
7,@freight_kai,Freight Kai,tiktok,142196,0.0292,81.64,Intermodal,Miami,Florida,US,0,2026-05-13T10:00:43Z
8,@freight_maya,Freight Maya,twitter,9337,0.0824,86.94,Passenger Mobility,Seattle,Washington,US,0,2026-05-13T10:00:43Z
9,@freight_tyler,Freight Tyler,youtube,4978,0.0852,80.33,Cold Chain,Denver,Colorado,US,0,2026-05-13T10:00:43Z
10,@freight_ava,Freight Ava,threads,697980,0.0202,77.17,Port Drayage,Austin,Texas,US,1,2026-05-13T10:00:43Z
11,@driver_jen,Driver Jen,instagram,1024,0.0816,76.52,Rail Freight,Nashville,Tennessee,US,0,2026-05-13T10:00:43Z
12,@driver_zoe,Driver Zoe,tiktok,6537,0.1102,100,Fleet Services,Portland,Oregon,US,0,2026-05-13T10:00:43Z
13,@driver_lily,Driver Lily,twitter,7272,0.0957,91.11,Fleet Monitoring,Boston,Massachusetts,US,0,2026-05-13T10:00:43Z
14,@driver_maya,Driver Maya,youtube,703077,0.0394,90.98,Disruption Response,Atlanta,Georgia,US,1,2026-05-13T10:00:43Z
15,@driver_ava,Driver Ava,threads,5581280,0.0178,89.71,Yard Operations,Dallas,Texas,US,1,2026-05-13T10:00:43Z
16,@driver_nina,Driver Nina,instagram,544407,0.0359,88.14,Less-than-Truckload,San Diego,California,US,1,2026-05-13T10:00:43Z
17,@driver_ella,Driver Ella,tiktok,65799,0.0732,89.56,Final Mile,Minneapolis,Minnesota,US,0,2026-05-13T10:00:43Z
18,@driver_aria,Driver Aria,twitter,83544,0.0409,75.25,Time-Critical Freight,Detroit,Michigan,US,0,2026-05-13T10:00:43Z
19,@driver_luna,Driver Luna,youtube,2546,0.108,99.69,Brokerage,Las Vegas,Nevada,US,0,2026-05-13T10:00:43Z
20,@driver_mia,Driver Mia,threads,7947,0.0607,73.11,Heavy Haul,Brooklyn,New York,US,0,2026-05-13T10:00:43Z
21,@dispatcher_alex,Dispatcher Alex,instagram,64451,0.0744,87.78,Regional Distribution,New York,New York,US,0,2026-05-13T10:00:43Z
22,@dispatcher_lily,Dispatcher Lily,tiktok,9272,0.0595,81.66,Intermodal,Los Angeles,California,US,0,2026-05-13T10:00:43Z
