mention_id,post_id,product_id,confidence_score,mention_type,created_at
1,1,35,0.81,direct,2026-05-05T16:30:00Z
2,2,11,0.85,semantic,2026-05-05T16:30:00Z
3,3,50,0.98,hashtag,2026-05-05T16:30:00Z
4,4,25,0.79,visual,2026-05-05T16:30:00Z
5,5,4,0.97,inferred,2026-05-05T16:30:00Z
6,6,40,0.82,direct,2026-05-05T16:30:00Z
7,7,17,0.95,semantic,2026-05-05T16:30:00Z
8,8,57,0.97,hashtag,2026-05-05T16:30:00Z
9,9,31,0.89,visual,2026-05-05T16:30:00Z
10,10,8,0.86,inferred,2026-05-05T16:30:00Z
11,11,46,0.97,direct,2026-05-05T16:30:00Z
12,12,22,0.93,semantic,2026-05-05T16:30:00Z
13,13,2,0.85,hashtag,2026-05-05T16:30:00Z
14,14,37,0.92,visual,2026-05-05T16:30:00Z
15,15,13,0.79,inferred,2026-05-05T16:30:00Z
16,16,53,0.88,direct,2026-05-05T16:30:00Z
17,17,27,0.89,semantic,2026-05-05T16:30:00Z
18,18,6,0.92,hashtag,2026-05-05T16:30:00Z
19,19,43,0.89,visual,2026-05-05T16:30:00Z
20,20,19,0.91,inferred,2026-05-05T16:30:00Z
21,21,59,0.8,direct,2026-05-05T16:30:00Z
22,22,33,0.8,semantic,2026-05-05T16:30:00Z
23,23,10,0.94,hashtag,2026-05-05T16:30:00Z
24,24,49,0.77,visual,2026-05-05T16:30:00Z
25,25,24,0.81,inferred,2026-05-05T16:30:00Z
26,26,3,0.9,direct,2026-05-05T16:30:00Z
27,27,39,0.83,semantic,2026-05-05T16:30:00Z
28,28,15,0.83,hashtag,2026-05-05T16:30:00Z
29,29,55,0.92,visual,2026-05-05T16:30:00Z
30,30,30,0.88,inferred,2026-05-05T16:30:00Z
31,31,7,0.92,direct,2026-05-05T16:30:00Z
32,32,45,0.84,semantic,2026-05-05T16:30:00Z
33,33,21,0.8,hashtag,2026-05-05T16:30:00Z
34,34,1,0.96,visual,2026-05-05T16:30:00Z
35,35,35,0.88,inferred,2026-05-05T16:30:00Z
36,36,12,0.86,direct,2026-05-05T16:30:00Z
37,37,51,0.8,semantic,2026-05-05T16:30:00Z
38,38,26,0.92,hashtag,2026-05-05T16:30:00Z
39,39,5,0.96,visual,2026-05-05T16:30:00Z
40,40,41,0.88,inferred,2026-05-05T16:30:00Z
41,41,17,0.84,direct,2026-05-05T16:30:00Z
42,42,57,0.89,semantic,2026-05-05T16:30:00Z
43,43,32,0.93,hashtag,2026-05-05T16:30:00Z
44,44,9,0.82,visual,2026-05-05T16:30:00Z
45,45,47,0.84,inferred,2026-05-05T16:30:00Z
46,46,23,0.8,direct,2026-05-05T16:30:00Z
47,47,2,0.81,semantic,2026-05-05T16:30:00Z
48,48,38,0.9,hashtag,2026-05-05T16:30:00Z
49,49,14,0.92,visual,2026-05-05T16:30:00Z
50,50,54,0.95,inferred,2026-05-05T16:30:00Z
51,51,28,0.8,direct,2026-05-05T16:30:00Z
52,52,6,0.79,semantic,2026-05-05T16:30:00Z
53,53,44,0.87,hashtag,2026-05-05T16:30:00Z
54,54,19,0.95,visual,2026-05-05T16:30:00Z
55,55,60,0.85,inferred,2026-05-05T16:30:00Z
56,56,34,0.82,direct,2026-05-05T16:30:00Z
57,57,11,0.98,semantic,2026-05-05T16:30:00Z
58,58,50,0.79,hashtag,2026-05-05T16:30:00Z
59,59,25,0.89,visual,2026-05-05T16:30:00Z
60,60,4,0.96,inferred,2026-05-05T16:30:00Z
61,61,40,0.77,direct,2026-05-05T16:30:00Z
62,62,16,0.92,semantic,2026-05-05T16:30:00Z
63,63,56,0.93,hashtag,2026-05-05T16:30:00Z
64,64,30,0.93,visual,2026-05-05T16:30:00Z
65,65,8,0.95,inferred,2026-05-05T16:30:00Z
66,66,46,0.94,direct,2026-05-05T16:30:00Z
67,67,21,0.8,semantic,2026-05-05T16:30:00Z
68,68,1,0.8,hashtag,2026-05-05T16:30:00Z
69,69,36,0.93,visual,2026-05-05T16:30:00Z
70,70,13,0.82,inferred,2026-05-05T16:30:00Z
71,71,52,0.77,direct,2026-05-05T16:30:00Z
72,72,27,0.82,semantic,2026-05-05T16:30:00Z
73,73,5,0.93,hashtag,2026-05-05T16:30:00Z
74,74,42,0.77,visual,2026-05-05T16:30:00Z
75,75,18,0.77,inferred,2026-05-05T16:30:00Z
76,76,58,0.92,direct,2026-05-05T16:30:00Z
77,77,33,0.77,semantic,2026-05-05T16:30:00Z
78,78,10,0.89,hashtag,2026-05-05T16:30:00Z
79,79,48,0.82,visual,2026-05-05T16:30:00Z
80,80,23,0.79,inferred,2026-05-05T16:30:00Z
81,81,3,0.86,direct,2026-05-05T16:30:00Z
82,82,38,0.89,semantic,2026-05-05T16:30:00Z
83,83,15,0.78,hashtag,2026-05-05T16:30:00Z
84,84,55,0.92,visual,2026-05-05T16:30:00Z
85,85,29,0.8,inferred,2026-05-05T16:30:00Z
86,86,7,0.96,direct,2026-05-05T16:30:00Z
87,87,45,0.82,semantic,2026-05-05T16:30:00Z
88,88,20,0.96,hashtag,2026-05-05T16:30:00Z
89,89,1,0.86,visual,2026-05-05T16:30:00Z
90,90,35,0.86,inferred,2026-05-05T16:30:00Z
91,91,12,0.82,direct,2026-05-05T16:30:00Z
92,92,51,0.85,semantic,2026-05-05T16:30:00Z
93,93,26,0.92,hashtag,2026-05-05T16:30:00Z
94,94,4,0.98,visual,2026-05-05T16:30:00Z
95,95,41,0.94,inferred,2026-05-05T16:30:00Z
96,96,17,0.91,direct,2026-05-05T16:30:00Z
97,97,57,0.87,semantic,2026-05-05T16:30:00Z
98,98,31,0.82,hashtag,2026-05-05T16:30:00Z
99,99,9,0.94,visual,2026-05-05T16:30:00Z
100,100,47,0.96,inferred,2026-05-05T16:30:00Z
101,101,22,0.79,direct,2026-05-05T16:30:00Z
102,102,2,0.84,semantic,2026-05-05T16:30:00Z
103,103,37,0.84,hashtag,2026-05-05T16:30:00Z
104,104,14,0.94,visual,2026-05-05T16:30:00Z
105,105,53,0.86,inferred,2026-05-05T16:30:00Z
106,106,28,0.94,direct,2026-05-05T16:30:00Z
107,107,6,0.88,semantic,2026-05-05T16:30:00Z
108,108,43,0.94,hashtag,2026-05-05T16:30:00Z
109,109,19,0.8,visual,2026-05-05T16:30:00Z
110,110,59,0.81,inferred,2026-05-05T16:30:00Z
111,111,33,0.89,direct,2026-05-05T16:30:00Z
112,112,11,0.97,semantic,2026-05-05T16:30:00Z
113,113,49,0.77,hashtag,2026-05-05T16:30:00Z
114,114,24,0.85,visual,2026-05-05T16:30:00Z
115,115,3,0.81,inferred,2026-05-05T16:30:00Z
116,116,39,0.84,direct,2026-05-05T16:30:00Z
117,117,16,0.92,semantic,2026-05-05T16:30:00Z
118,118,55,0.96,hashtag,2026-05-05T16:30:00Z
119,119,30,0.78,visual,2026-05-05T16:30:00Z
120,120,8,0.98,inferred,2026-05-05T16:30:00Z
121,121,45,0.82,direct,2026-05-05T16:30:00Z
122,122,21,0.77,semantic,2026-05-05T16:30:00Z
123,123,1,0.91,hashtag,2026-05-05T16:30:00Z
124,124,36,0.81,visual,2026-05-05T16:30:00Z
125,125,12,0.97,inferred,2026-05-05T16:30:00Z
126,126,52,0.79,direct,2026-05-05T16:30:00Z
127,127,26,0.78,semantic,2026-05-05T16:30:00Z
128,128,5,0.89,hashtag,2026-05-05T16:30:00Z
129,129,42,0.77,visual,2026-05-05T16:30:00Z
130,130,18,0.92,inferred,2026-05-05T16:30:00Z
131,131,58,0.8,direct,2026-05-05T16:30:00Z
132,132,32,0.83,semantic,2026-05-05T16:30:00Z
133,133,9,0.93,hashtag,2026-05-05T16:30:00Z
134,134,48,0.97,visual,2026-05-05T16:30:00Z
135,135,23,0.86,inferred,2026-05-05T16:30:00Z
136,136,2,0.8,direct,2026-05-05T16:30:00Z
137,137,38,0.97,semantic,2026-05-05T16:30:00Z
138,138,14,0.8,hashtag,2026-05-05T16:30:00Z
139,139,54,0.9,visual,2026-05-05T16:30:00Z
140,140,29,0.98,inferred,2026-05-05T16:30:00Z
141,141,7,0.97,direct,2026-05-05T16:30:00Z
142,142,44,0.89,semantic,2026-05-05T16:30:00Z
143,143,20,0.85,hashtag,2026-05-05T16:30:00Z
144,144,60,0.77,visual,2026-05-05T16:30:00Z
145,145,34,0.92,inferred,2026-05-05T16:30:00Z
146,146,11,0.92,direct,2026-05-05T16:30:00Z
147,147,50,0.84,semantic,2026-05-05T16:30:00Z
148,148,25,0.83,hashtag,2026-05-05T16:30:00Z
149,149,4,0.95,visual,2026-05-05T16:30:00Z
150,150,40,0.95,inferred,2026-05-05T16:30:00Z
151,151,16,0.8,direct,2026-05-05T16:30:00Z
152,152,56,0.87,semantic,2026-05-05T16:30:00Z
153,153,31,0.89,hashtag,2026-05-05T16:30:00Z
154,154,8,0.86,visual,2026-05-05T16:30:00Z
155,155,46,0.96,inferred,2026-05-05T16:30:00Z
156,156,22,0.87,direct,2026-05-05T16:30:00Z
157,157,2,0.89,semantic,2026-05-05T16:30:00Z
158,158,37,0.86,hashtag,2026-05-05T16:30:00Z
159,159,13,0.81,visual,2026-05-05T16:30:00Z
160,160,52,0.93,inferred,2026-05-05T16:30:00Z
161,161,27,0.92,direct,2026-05-05T16:30:00Z
162,162,5,0.9,semantic,2026-05-05T16:30:00Z
163,163,43,0.89,hashtag,2026-05-05T16:30:00Z
164,164,18,0.78,visual,2026-05-05T16:30:00Z
165,165,59,0.8,inferred,2026-05-05T16:30:00Z
166,166,33,0.82,direct,2026-05-05T16:30:00Z
167,167,10,0.92,semantic,2026-05-05T16:30:00Z
168,168,49,0.86,hashtag,2026-05-05T16:30:00Z
169,169,24,0.85,visual,2026-05-05T16:30:00Z
170,170,3,0.92,inferred,2026-05-05T16:30:00Z
171,171,39,0.87,direct,2026-05-05T16:30:00Z
172,172,15,0.8,semantic,2026-05-05T16:30:00Z
173,173,55,0.88,hashtag,2026-05-05T16:30:00Z
174,174,29,0.94,visual,2026-05-05T16:30:00Z
175,175,7,0.87,inferred,2026-05-05T16:30:00Z
176,176,45,0.92,direct,2026-05-05T16:30:00Z
177,177,20,0.93,semantic,2026-05-05T16:30:00Z
178,178,1,0.92,hashtag,2026-05-05T16:30:00Z
179,179,35,0.89,visual,2026-05-05T16:30:00Z
180,180,12,0.89,inferred,2026-05-05T16:30:00Z
181,181,51,0.91,direct,2026-05-05T16:30:00Z
182,182,26,0.81,semantic,2026-05-05T16:30:00Z
183,183,4,0.84,hashtag,2026-05-05T16:30:00Z
184,184,41,0.83,visual,2026-05-05T16:30:00Z
185,185,17,0.89,inferred,2026-05-05T16:30:00Z
186,186,57,0.93,direct,2026-05-05T16:30:00Z
187,187,32,0.96,semantic,2026-05-05T16:30:00Z
188,188,9,0.97,hashtag,2026-05-05T16:30:00Z
189,189,47,0.9,visual,2026-05-05T16:30:00Z
