product_id,brand_id,sku,product_name,description,category,subcategory,unit_price,unit_cost,weight_kg,is_active,launch_date,tags,created_at,updated_at
1,1,VIT-00001,mRNA LNP Clinical Batch,,Biologics,mRNA Therapeutics,18500,12600,12,1,2025-06-13,"mrna,lnp,clinical-batch,cold-chain",2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
2,1,VIT-00002,Recombinant Protein GMP Lot,,Biologics,Recombinant Proteins,14200,9100,8,1,2025-12-05,"recombinant-protein,gmp,release-testing",2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
3,1,VIT-00003,AAV Vector Reference Lot,,Cell and Gene Therapy,Viral Vectors,26400,18800,6,1,2025-07-01,"aav,viral-vector,gene-therapy",2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
4,1,VIT-00004,Sterile Fill Finish Batch Slot,,Manufacturing Services,Fill Finish,11800,7200,1,1,2025-09-26,"fill-finish,sterile,capacity",2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
5,1,VIT-00005,Stability Study Sample Set,,Quality Control,Stability,3900,2100,3,1,2024-12-04,"stability,ich,quality",2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
6,2,SOL-00006,Phase II Site Activation Kit,,Clinical Trial Supplies,Site Startup,720,420,9,1,2024-06-08,"site-activation,trial-kit,protocol",2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
7,2,SOL-00007,eConsent Participant Packet,,Clinical Trial Supplies,Patient Materials,95,38,2,1,2026-03-29,"econsent,patient-materials,trial",2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
8,2,SOL-00008,Randomization Label Pack,,Clinical Trial Supplies,IRT Labeling,210,92,1,1,2025-03-31,"randomization,labeling,irt",2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
9,2,SOL-00009,Comparator Drug Blinding Kit,,Clinical Trial Supplies,Blinding,1280,740,4,1,2026-01-20,"comparator,blinding,trial-supply",2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
10,2,SOL-00010,Rescue Medication Site Pack,,Clinical Trial Supplies,Rescue Medication,860,510,5,1,2025-11-24,"rescue-medication,site-pack,safety",2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
