forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
1,1,Arizona Fab Operations Belt,2026-05-06,478,381,563,1.36,hightech_demo_forecast_v2,Demand volatility forecast for AI Edge Gateway Reference Kit in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
2,1,Texas Component Logistics Zone,2026-05-07,406,301,536,1.24,hightech_demo_forecast_v2,Demand volatility forecast for AI Edge Gateway Reference Kit in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
3,1,Midwest Contract Manufacturing Cluster,2026-05-08,186,146,248,0.94,hightech_demo_forecast_v2,Demand volatility forecast for AI Edge Gateway Reference Kit in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
4,1,Northeast PLM Handoff Corridor,2026-05-09,185,148,219,1.29,hightech_demo_forecast_v2,Demand volatility forecast for AI Edge Gateway Reference Kit in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
5,1,Southeast Quality Response Region,2026-05-10,283,223,339,1.49,hightech_demo_forecast_v2,Demand volatility forecast for AI Edge Gateway Reference Kit in Southeast Quality Response Region.,2026-05-05T16:30:00Z
6,1,Pacific Connected Product Coast,2026-05-11,320,243,392,1.52,hightech_demo_forecast_v2,Demand volatility forecast for AI Edge Gateway Reference Kit in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
7,2,Texas Component Logistics Zone,2026-05-06,518,405,673,0.92,hightech_demo_forecast_v2,Demand volatility forecast for Private 5G Factory Starter Pack in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
8,2,Midwest Contract Manufacturing Cluster,2026-05-07,189,149,252,1.39,hightech_demo_forecast_v2,Demand volatility forecast for Private 5G Factory Starter Pack in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
9,2,Northeast PLM Handoff Corridor,2026-05-08,652,483,806,0.85,hightech_demo_forecast_v2,Demand volatility forecast for Private 5G Factory Starter Pack in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
10,2,Southeast Quality Response Region,2026-05-09,693,515,821,1.43,hightech_demo_forecast_v2,Demand volatility forecast for Private 5G Factory Starter Pack in Southeast Quality Response Region.,2026-05-05T16:30:00Z
11,2,Pacific Connected Product Coast,2026-05-10,247,185,295,0.95,hightech_demo_forecast_v2,Demand volatility forecast for Private 5G Factory Starter Pack in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
12,2,Mountain Network Systems Region,2026-05-11,555,441,742,0.91,hightech_demo_forecast_v2,Demand volatility forecast for Private 5G Factory Starter Pack in Mountain Network Systems Region.,2026-05-05T16:30:00Z
