influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
1,@fda_updates,Fda Updates,instagram,101113,0.0158,71.65,FDA,New York,New York,US,0,2026-05-13T09:49:19Z
2,@fda_desk,Fda Desk,tiktok,56770,0.0742,94.37,EMA,Los Angeles,California,US,0,2026-05-13T09:49:19Z
3,@fda_alerts,Fda Alerts,twitter,5978,0.1155,100,GxP,Chicago,Illinois,US,0,2026-05-13T09:49:19Z
4,@fda_bulletin,Fda Bulletin,youtube,97254,0.0506,91.68,Cold Chain,Houston,Texas,US,0,2026-05-13T09:49:19Z
5,@fda_ops,Fda Ops,threads,69037,0.0733,93.59,Clinical Operations,Phoenix,Arizona,US,0,2026-05-13T09:49:19Z
6,@fda_lab,Fda Lab,instagram,39444,0.0703,95.8,Pharmacovigilance,San Francisco,California,US,0,2026-05-13T09:49:19Z
7,@fda_review,Fda Review,tiktok,5603,0.1011,100,Cell Therapy,Miami,Florida,US,0,2026-05-13T09:49:19Z
8,@fda_monitor,Fda Monitor,twitter,2050,0.0662,74.3,Biologics Manufacturing,Seattle,Washington,US,0,2026-05-13T09:49:19Z
9,@fda_signal,Fda Signal,youtube,32834,0.0398,76.85,Diagnostics,Denver,Colorado,US,0,2026-05-13T09:49:19Z
10,@fda_weekly,Fda Weekly,threads,3734,0.0891,94.28,Medical Devices,Austin,Texas,US,0,2026-05-13T09:49:19Z
11,@ema_desk,Ema Desk,instagram,4834,0.1062,100,Trial Supply,Nashville,Tennessee,US,0,2026-05-13T09:49:19Z
12,@ema_bulletin,Ema Bulletin,tiktok,848435,0.0327,80.58,Sterility Assurance,Portland,Oregon,US,1,2026-05-13T09:49:19Z
13,@ema_lab,Ema Lab,twitter,8664,0.1127,97.98,Manufacturer Quality,Boston,Massachusetts,US,0,2026-05-13T09:49:19Z
14,@ema_monitor,Ema Monitor,youtube,50118,0.0472,86.36,Enrollment Risk,Atlanta,Georgia,US,0,2026-05-13T09:49:19Z
15,@ema_weekly,Ema Weekly,threads,526393,0.0354,87.82,Air Cargo,Dallas,Texas,US,1,2026-05-13T09:49:19Z
16,@ema_intel,Ema Intel,instagram,3703,0.0345,55.43,FDA,San Diego,California,US,0,2026-05-13T09:49:19Z
17,@ema_compliance,Ema Compliance,tiktok,5404,0.0978,96.8,EMA,Minneapolis,Minnesota,US,0,2026-05-13T09:49:19Z
18,@ema_safety,Ema Safety,twitter,15587,0.0412,64.07,GxP,Detroit,Michigan,US,0,2026-05-13T09:49:19Z
19,@ema_network,Ema Network,youtube,7328,0.0983,88.84,Cold Chain,Las Vegas,Nevada,US,0,2026-05-13T09:49:19Z
20,@ema_flow,Ema Flow,threads,31235,0.0352,65.6,Clinical Operations,Brooklyn,New York,US,0,2026-05-13T09:49:19Z
21,@mhra_alerts,Mhra Alerts,instagram,7690010,0.009,80.4,Pharmacovigilance,New York,New York,US,1,2026-05-13T09:49:19Z
22,@mhra_lab,Mhra Lab,tiktok,1020,0.0639,68.4,Cell Therapy,Los Angeles,California,US,0,2026-05-13T09:49:19Z
23,@mhra_signal,Mhra Signal,twitter,8149,0.0601,81.27,Biologics Manufacturing,Chicago,Illinois,US,0,2026-05-13T09:49:19Z
24,@mhra_intel,Mhra Intel,youtube,1741,0.0751,79.01,Diagnostics,Houston,Texas,US,0,2026-05-13T09:49:19Z
25,@mhra_routing,Mhra Routing,threads,4046,0.0343,65.83,Medical Devices,Phoenix,Arizona,US,0,2026-05-13T09:49:19Z
26,@mhra_network,Mhra Network,instagram,98248,0.0313,81.83,Trial Supply,San Francisco,California,US,0,2026-05-13T09:49:19Z
27,@mhra_audit,Mhra Audit,tiktok,4950,0.0722,83.46,Sterility Assurance,Miami,Florida,US,0,2026-05-13T09:49:19Z
28,@mhra_index,Mhra Index,twitter,7782,0.0434,74.49,Manufacturer Quality,Seattle,Washington,US,0,2026-05-13T09:49:19Z
29,@mhra_hub,Mhra Hub,youtube,778255,0.0187,81.91,Enrollment Risk,Denver,Colorado,US,1,2026-05-13T09:49:19Z
30,@mhra_node,Mhra Node,threads,57172,0.062,93.01,Air Cargo,Austin,Texas,US,0,2026-05-13T09:49:19Z
31,@ich_bulletin,Ich Bulletin,instagram,2061,0.1159,100,FDA,Nashville,Tennessee,US,0,2026-05-13T09:49:19Z
32,@ich_monitor,Ich Monitor,tiktok,7941,0.0412,64,EMA,Portland,Oregon,US,0,2026-05-13T09:49:19Z
33,@ich_intel,Ich Intel,twitter,9929,0.0332,70.16,GxP,Boston,Massachusetts,US,0,2026-05-13T09:49:19Z
34,@ich_safety,Ich Safety,youtube,5951,0.0645,77.65,Cold Chain,Atlanta,Georgia,US,0,2026-05-13T09:49:19Z
35,@ich_flow,Ich Flow,threads,63843,0.0661,93.17,Clinical Operations,Dallas,Texas,US,0,2026-05-13T09:49:19Z
36,@ich_index,Ich Index,instagram,2048,0.0896,83.82,Pharmacovigilance,San Diego,California,US,0,2026-05-13T09:49:19Z
37,@ich_feed,Ich Feed,tiktok,894880,0.0392,88.96,Cell Therapy,Minneapolis,Minnesota,US,1,2026-05-13T09:49:19Z
38,@ich_control,Ich Control,twitter,8658,0.1178,100,Biologics Manufacturing,Detroit,Michigan,US,0,2026-05-13T09:49:19Z
39,@ich_planner,Ich Planner,youtube,38992,0.0794,88.67,Diagnostics,Las Vegas,Nevada,US,0,2026-05-13T09:49:19Z
40,@ich_matrix,Ich Matrix,threads,3554,0.0599,76.57,Medical Devices,Brooklyn,New York,US,0,2026-05-13T09:49:19Z
41,@gxp_ops,Gxp Ops,instagram,5746,0.0363,69.75,Trial Supply,New York,New York,US,0,2026-05-13T09:49:19Z
42,@gxp_weekly,Gxp Weekly,tiktok,59354,0.0662,95.03,Sterility Assurance,Los Angeles,California,US,0,2026-05-13T09:49:19Z
43,@gxp_routing,Gxp Routing,twitter,23195,0.0513,78.8,Manufacturer Quality,Chicago,Illinois,US,0,2026-05-13T09:49:19Z
44,@gxp_flow,Gxp Flow,youtube,61431,0.0637,90.78,Enrollment Risk,Houston,Texas,US,0,2026-05-13T09:49:19Z
45,@gxp_map,Gxp Map,threads,19388,0.069,85.59,Air Cargo,Phoenix,Arizona,US,0,2026-05-13T09:49:19Z
46,@gxp_node,Gxp Node,instagram,179628,0.0321,77.7,FDA,San Francisco,California,US,0,2026-05-13T09:49:19Z
47,@gxp_status,Gxp Status,tiktok,1076,0.1134,92.59,EMA,Miami,Florida,US,0,2026-05-13T09:49:19Z
48,@gxp_matrix,Gxp Matrix,twitter,2798,0.0515,67.46,GxP,Seattle,Washington,US,0,2026-05-13T09:49:19Z
49,@gxp_observer,Gxp Observer,youtube,91207,0.032,80.93,Cold Chain,Denver,Colorado,US,0,2026-05-13T09:49:19Z
50,@gxp_watch,Gxp Watch,threads,5245731,0.0155,85.31,Clinical Operations,Austin,Texas,US,1,2026-05-13T09:49:19Z
51,@trial_lab,Trial Lab,instagram,4028,0.0449,69.76,Pharmacovigilance,Nashville,Tennessee,US,0,2026-05-13T09:49:19Z
52,@trial_intel,Trial Intel,tiktok,244026,0.0352,85.16,Cell Therapy,Portland,Oregon,US,0,2026-05-13T09:49:19Z
53,@trial_network,Trial Network,twitter,166136,0.0413,79.52,Biologics Manufacturing,Boston,Massachusetts,US,0,2026-05-13T09:49:19Z
54,@trial_index,Trial Index,youtube,82900,0.0345,69.67,Diagnostics,Atlanta,Georgia,US,0,2026-05-13T09:49:19Z
55,@trial_node,Trial Node,threads,30775,0.061,84.45,Medical Devices,Dallas,Texas,US,0,2026-05-13T09:49:19Z
56,@trial_planner,Trial Planner,instagram,2822,0.0338,62.81,Trial Supply,San Diego,California,US,0,2026-05-13T09:49:19Z
57,@trial_coordinator,Trial Coordinator,tiktok,3446,0.0765,87.25,Sterility Assurance,Minneapolis,Minnesota,US,0,2026-05-13T09:49:19Z
58,@trial_bridge,Trial Bridge,twitter,3517,0.0788,80.37,Manufacturer Quality,Detroit,Michigan,US,0,2026-05-13T09:49:19Z
59,@trial_bulletin,Trial Bulletin,youtube,55789,0.0616,83.59,Enrollment Risk,Las Vegas,Nevada,US,0,2026-05-13T09:49:19Z
60,@trial_weekly,Trial Weekly,threads,77117,0.0724,95.33,Air Cargo,Brooklyn,New York,US,0,2026-05-13T09:49:19Z
61,@pv_review,Pv Review,instagram,80158,0.0426,75.79,FDA,New York,New York,US,0,2026-05-13T09:49:19Z
62,@pv_compliance,Pv Compliance,tiktok,79292,0.044,79.31,EMA,Los Angeles,California,US,0,2026-05-13T09:49:19Z
