connection_id,from_influencer,to_influencer,connection_type,strength,interaction_count,first_seen,last_interaction
1,95,473,collaborates,0.686,118,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
2,387,336,mentioned,0.839,122,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
3,332,458,reshared,0.823,15,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
4,233,219,tagged,0.958,154,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
5,257,274,duet,0.671,186,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
6,236,171,inspired_by,0.281,152,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
7,150,439,follows,0.74,143,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
8,476,164,collaborates,0.378,166,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
9,451,421,mentioned,0.336,60,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
10,304,373,reshared,0.618,3,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
11,329,282,tagged,0.675,8,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
12,337,377,duet,0.741,170,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
13,47,164,inspired_by,0.99,171,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
14,17,148,follows,0.562,100,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
15,421,178,collaborates,0.378,151,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
16,8,64,mentioned,0.499,118,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
17,387,33,reshared,0.437,19,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
18,101,261,tagged,0.806,39,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
19,65,134,duet,0.976,33,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
20,56,449,inspired_by,0.652,80,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
21,112,344,follows,0.616,1,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
22,311,404,collaborates,0.396,154,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
23,108,281,mentioned,0.15,127,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
24,437,10,reshared,0.643,91,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
25,315,7,tagged,0.217,178,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
28,105,63,follows,0.908,17,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
29,31,434,collaborates,0.78,130,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
30,468,380,mentioned,0.428,1,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
31,313,211,reshared,0.752,19,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
32,270,191,tagged,0.683,154,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
33,141,51,duet,0.149,82,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
34,201,323,inspired_by,0.663,166,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
35,326,293,follows,0.233,169,2026-05-13T10:00:44Z,2026-05-13T10:00:44Z
