item_id,order_id,product_id,quantity,unit_price,fulfilled_from
1,1,1,1,1495,1
2,1,14,2,5100,1
3,1,30,3,2400,1
4,2,8,2,7600,6
5,2,21,3,540,6
6,2,37,4,2600,6
7,3,15,3,6200,11
8,3,28,4,17400,11
9,3,44,1,5250,11
10,4,22,4,8800,4
11,4,35,1,2100,4
12,4,51,2,1320,4
13,5,29,1,48,9
14,5,42,2,3900,9
15,5,58,3,3900,9
16,6,36,2,4500,2
17,6,49,3,2950,2
18,6,5,4,12600,2
19,7,43,3,1280,7
20,7,56,4,6800,7
21,7,12,1,4100,7
22,8,50,4,5150,12
23,8,3,1,420,12
24,8,19,2,4100,12
25,9,57,1,3400,5
26,9,10,2,540,5
27,9,26,3,760,5
28,10,4,2,3800,10
29,10,17,3,180,10
30,10,33,4,7850,10
31,11,11,3,3200,3
32,11,24,4,4900,3
33,11,40,1,970,3
34,12,18,4,2950,8
35,12,31,1,1900,8
36,12,47,2,11200,8
37,13,25,1,1250,1
38,13,38,2,3100,1
39,13,54,3,8600,1
40,14,32,2,3350,6
41,14,45,3,4300,6
42,14,1,4,1495,6
43,15,39,3,2300,11
44,15,52,4,4750,11
45,15,8,1,7600,11
46,16,46,4,880,4
47,16,59,1,9300,4
48,16,15,2,6200,4
49,17,53,1,7100,9
50,17,6,2,22500,9
51,17,22,3,8800,9
52,18,60,2,2200,2
53,18,13,3,2750,2
54,18,29,4,48,2
55,19,7,3,18400,7
56,19,20,4,690,7
57,19,36,1,4500,7
58,20,14,4,5100,12
59,20,27,1,14800,12
60,20,43,2,1280,12
61,21,21,1,540,5
62,21,34,2,9400,5
63,21,50,3,5150,5
64,22,28,2,17400,10
65,22,41,3,6200,10
66,22,57,4,3400,10
67,23,35,3,2100,3
68,23,48,4,3700,3
69,23,4,1,3800,3
70,24,42,4,3900,8
71,24,55,1,2600,8
72,24,11,2,3200,8
73,25,49,1,2950,1
74,25,2,2,9800,1
75,25,18,3,2950,1
76,26,56,2,6800,6
77,26,9,3,870,6
78,26,25,4,1250,6
79,27,3,3,420,11
80,27,16,4,7350,11
81,27,32,1,3350,11
82,28,10,4,540,4
83,28,23,1,3600,4
84,28,39,2,2300,4
85,29,17,1,180,9
86,29,30,2,2400,9
87,29,46,3,880,9
88,30,24,2,4900,2
89,30,37,3,2600,2
90,30,53,4,7100,2
91,31,31,3,1900,7
92,31,44,4,5250,7
93,31,60,1,2200,7
94,32,38,4,3100,12
95,32,51,1,1320,12
96,32,7,2,18400,12
97,33,45,1,4300,5
98,33,58,2,3900,5
99,33,14,3,5100,5
100,34,52,2,4750,10
101,34,5,3,12600,10
102,34,21,4,540,10
103,35,59,3,9300,3
104,35,12,4,4100,3
105,35,28,1,17400,3
106,36,6,4,22500,8
107,36,19,1,4100,8
108,36,35,2,2100,8
109,37,13,1,2750,1
110,37,26,2,760,1
111,37,42,3,3900,1
112,38,20,2,690,6
113,38,33,3,7850,6
114,38,49,4,2950,6
115,39,27,3,14800,11
116,39,40,4,970,11
117,39,56,1,6800,11
118,40,34,4,9400,4
119,40,47,1,11200,4
120,40,3,2,420,4
121,41,41,1,6200,9
122,41,54,2,8600,9
123,41,10,3,540,9
124,42,48,2,3700,2
125,42,1,3,1495,2
126,42,17,4,180,2
127,43,55,3,2600,7
128,43,8,4,7600,7
129,43,24,1,4900,7
130,44,2,4,9800,12
131,44,15,1,6200,12
132,44,31,2,1900,12
133,45,9,1,870,5
134,45,22,2,8800,5
135,45,38,3,3100,5
136,46,16,2,7350,10
137,46,29,3,48,10
138,46,45,4,4300,10
139,47,23,3,3600,3
140,47,36,4,4500,3
141,47,52,1,4750,3
142,48,30,4,2400,8
143,48,43,1,1280,8
144,48,59,2,9300,8
145,49,37,1,2600,1
146,49,50,2,5150,1
147,49,6,3,22500,1
148,50,44,2,5250,6
149,50,57,3,3400,6
150,50,13,4,2750,6
151,51,51,3,1320,11
152,51,4,4,3800,11
153,51,20,1,690,11
154,52,58,4,3900,4
155,52,11,1,3200,4
156,52,27,2,14800,4
157,53,5,1,12600,9
158,53,18,2,2950,9
159,53,34,3,9400,9
160,54,12,2,4100,2
161,54,25,3,1250,2
162,54,41,4,6200,2
163,55,19,3,4100,7
164,55,32,4,3350,7
165,55,48,1,3700,7
166,56,26,4,760,12
167,56,39,1,2300,12
168,56,55,2,2600,12
169,57,33,1,7850,5
170,57,46,2,880,5
171,57,2,3,9800,5
172,58,40,2,970,10
173,58,53,3,7100,10
174,58,9,4,870,10
175,59,47,3,11200,3
176,59,60,4,2200,3
177,59,16,1,7350,3
178,60,54,4,8600,8
179,60,7,1,18400,8
180,60,23,2,3600,8
181,61,1,1,1495,1
182,61,14,2,5100,1
183,61,30,3,2400,1
184,62,8,2,7600,6
185,62,21,3,540,6
186,62,37,4,2600,6
187,63,15,3,6200,11
188,63,28,4,17400,11
189,63,44,1,5250,11
190,64,22,4,8800,4
191,64,35,1,2100,4
192,64,51,2,1320,4
193,65,29,1,48,9
194,65,42,2,3900,9
195,65,58,3,3900,9
196,66,36,2,4500,2
197,66,49,3,2950,2
198,66,5,4,12600,2
199,67,43,3,1280,7
200,67,56,4,6800,7
201,67,12,1,4100,7
202,68,50,4,5150,12
203,68,3,1,420,12
204,68,19,2,4100,12
205,69,57,1,3400,5
206,69,10,2,540,5
207,69,26,3,760,5
208,70,4,2,3800,10
209,70,17,3,180,10
210,70,33,4,7850,10
211,71,11,3,3200,3
212,71,24,4,4900,3
213,71,40,1,970,3
214,72,18,4,2950,8
215,72,31,1,1900,8
216,72,47,2,11200,8
217,73,25,1,1250,1
218,73,38,2,3100,1
219,73,54,3,8600,1
220,74,32,2,3350,6
221,74,45,3,4300,6
222,74,1,4,1495,6
223,75,39,3,2300,11
224,75,52,4,4750,11
225,75,8,1,7600,11
226,76,46,4,880,4
227,76,59,1,9300,4
228,76,15,2,6200,4
229,77,53,1,7100,9
230,77,6,2,22500,9
231,77,22,3,8800,9
232,78,60,2,2200,2
233,78,13,3,2750,2
234,78,29,4,48,2
235,79,7,3,18400,7
236,79,20,4,690,7
237,79,36,1,4500,7
238,80,14,4,5100,12
239,80,27,1,14800,12
240,80,43,2,1280,12
241,81,21,1,540,5
242,81,34,2,9400,5
243,81,50,3,5150,5
244,82,28,2,17400,10
245,82,41,3,6200,10
246,82,57,4,3400,10
