post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
1,1,threads,hightech_signal_00001,Firmware Release Governance Pack allocation is tightening as component shortages ripple through customer commitments,2026-04-04T16:30:00Z,11252,1081,214,177704,0.67,59.8,35,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
2,14,tiktok,hightech_signal_00002,Fab operations teams are watching wafer starts for Digital Thread PLM Connector after the latest yield improvement review,2026-05-05T09:15:00Z,4295,1039,248,115546,0.54,64.2,11,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
3,27,youtube,hightech_signal_00003,Supplier risk is rising for Component Shortage Scenario Lab and channel inventory buffers may not cover the next order-promising cycle,2026-05-05T02:00:00Z,1931,658,83,96707,0.64,53.8,50,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
4,40,twitter,hightech_signal_00004,Engineering change orders changed the bill of materials assumptions for Field Quality Case Bundle during the NPI gate,2026-05-04T18:45:00Z,7979,502,386,227535,0.89,74.9,25,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
5,53,instagram,hightech_signal_00005,Connected product telemetry for Cloud GPU Burst Reservation is showing field quality patterns that warranty analytics should triage,2026-05-04T11:30:00Z,5584,637,27,11971,0.69,79.6,4,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
6,66,threads,hightech_signal_00006,Contract manufacturing capacity for Service Escalation Triage Pack is becoming the bottleneck for the next customer commitment wave,2026-05-04T04:15:00Z,9594,184,372,82395,0.41,52.1,40,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
7,79,tiktok,hightech_signal_00007,Demand volatility around Rugged Sensor Replacement Kit is pressuring allocation rules across enterprise buyer regions,2025-08-25T16:30:00Z,537,1520,432,220519,0.88,61.7,17,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
8,92,youtube,hightech_signal_00008,Service and support operations are asking for a follow-up plan on Contract Manufacturing Audit Pack before warranty cases rise,2026-05-03T13:45:00Z,8249,199,491,131558,0.86,80.6,57,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
9,105,twitter,hightech_signal_00009,Channel Inventory Signal Pack allocation is tightening as component shortages ripple through customer commitments,2026-05-03T06:30:00Z,2348,2739,481,252915,0.55,82.8,31,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
10,118,instagram,hightech_signal_00010,Fab operations teams are watching wafer starts for AI Accelerator Module after the latest yield improvement review,2026-05-02T23:15:00Z,7063,516,438,127848,0.41,59.2,8,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
11,131,threads,hightech_signal_00011,Supplier risk is rising for Fab Operations Runbook Seat and channel inventory buffers may not cover the next order-promising cycle,2026-05-02T16:00:00Z,6584,2602,297,261296,0.53,75.5,46,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
12,144,tiktok,hightech_signal_00012,Engineering change orders changed the bill of materials assumptions for Contract Manufacturing Capacity Pack during the NPI gate,2026-05-02T08:45:00Z,5557,672,83,15890,0.43,59.4,22,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
13,157,youtube,hightech_signal_00013,Connected product telemetry for Private 5G Factory Starter Pack is showing field quality patterns that warranty analytics should triage,2025-12-15T16:30:00Z,14304,1697,783,181825,0.87,76.5,2,viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
14,170,twitter,hightech_signal_00014,Contract manufacturing capacity for Supplier Qualification Evidence Vault is becoming the bottleneck for the next customer commitment wave,2026-05-01T18:15:00Z,3779,1483,387,90267,0.65,57.9,37,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
15,183,instagram,hightech_signal_00015,Demand volatility around Engineering Change Order Copilot is pressuring allocation rules across enterprise buyer regions,2026-05-01T11:00:00Z,10074,3227,165,318522,0.8,96.6,13,mega_viral,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
16,196,threads,hightech_signal_00016,Service and support operations are asking for a follow-up plan on Connected Product Telemetry Hub before warranty cases rise,2026-05-01T03:45:00Z,5793,1728,477,192234,0.36,50.7,53,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
17,209,tiktok,hightech_signal_00017,Fab Queue Digital Twin allocation is tightening as component shortages ripple through customer commitments,2026-04-30T20:30:00Z,9431,2019,314,124359,0.84,71.9,27,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
18,222,youtube,hightech_signal_00018,Fab operations teams are watching wafer starts for Wafer Start Planning Optimizer after the latest yield improvement review,2026-04-30T13:15:00Z,2158,1229,333,32187,0.77,72.9,6,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
19,235,twitter,hightech_signal_00019,Supplier risk is rising for Factory Line Quality Camera and channel inventory buffers may not cover the next order-promising cycle,2025-05-07T16:30:00Z,11459,2242,296,14806,0.73,60.3,43,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
20,248,instagram,hightech_signal_00020,Engineering change orders changed the bill of materials assumptions for Connected Product Quality Monitor during the NPI gate,2026-04-29T22:45:00Z,5771,1336,347,48025,0.85,55.8,19,normal,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
21,261,threads,hightech_signal_00021,Connected product telemetry for Wafer Starts Commit Planner is showing field quality patterns that warranty analytics should triage,2026-04-29T15:30:00Z,11531,2553,394,81400,0.36,75.4,59,rising,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
