connection_id,from_influencer,to_influencer,connection_type,strength,interaction_count,first_seen,last_interaction
1,1,12,follows,0.35,2,2026-04-21T16:30:00Z,2026-05-05T16:30:00Z
2,2,19,collaborates,0.84,3,2026-04-20T16:30:00Z,2026-05-05T15:30:00Z
3,3,26,mentioned,0.71,4,2026-04-19T16:30:00Z,2026-05-05T14:30:00Z
4,4,33,reshared,0.37,5,2026-04-18T16:30:00Z,2026-05-05T13:30:00Z
5,5,40,tagged,0.61,6,2026-04-17T16:30:00Z,2026-05-05T12:30:00Z
6,6,47,duet,0.95,7,2026-04-16T16:30:00Z,2026-05-05T11:30:00Z
7,7,54,inspired_by,0.48,8,2026-04-15T16:30:00Z,2026-05-05T10:30:00Z
8,8,61,follows,0.74,9,2026-04-14T16:30:00Z,2026-05-05T09:30:00Z
9,9,68,collaborates,0.6,10,2026-04-13T16:30:00Z,2026-05-05T08:30:00Z
10,10,75,mentioned,0.52,11,2026-04-12T16:30:00Z,2026-05-05T07:30:00Z
11,11,82,reshared,0.41,12,2026-04-11T16:30:00Z,2026-05-05T06:30:00Z
12,12,89,tagged,0.3,13,2026-04-10T16:30:00Z,2026-05-05T05:30:00Z
13,13,96,duet,0.86,14,2026-04-21T16:30:00Z,2026-05-05T04:30:00Z
14,14,103,inspired_by,0.35,15,2026-04-20T16:30:00Z,2026-05-05T03:30:00Z
15,15,110,follows,0.48,16,2026-04-19T16:30:00Z,2026-05-05T02:30:00Z
16,16,117,collaborates,0.81,17,2026-04-18T16:30:00Z,2026-05-05T01:30:00Z
17,17,124,mentioned,0.87,18,2026-04-17T16:30:00Z,2026-05-05T00:30:00Z
18,18,131,reshared,0.84,19,2026-04-16T16:30:00Z,2026-05-04T23:30:00Z
19,19,138,tagged,0.85,20,2026-04-15T16:30:00Z,2026-05-04T22:30:00Z
20,20,145,duet,0.45,21,2026-04-14T16:30:00Z,2026-05-04T21:30:00Z
21,21,152,inspired_by,0.29,22,2026-04-13T16:30:00Z,2026-05-04T20:30:00Z
22,22,159,follows,0.92,23,2026-04-12T16:30:00Z,2026-05-04T19:30:00Z
23,23,166,collaborates,0.79,24,2026-04-11T16:30:00Z,2026-05-04T18:30:00Z
24,24,173,mentioned,0.74,25,2026-04-10T16:30:00Z,2026-05-04T17:30:00Z
25,25,180,reshared,0.96,26,2026-04-21T16:30:00Z,2026-05-04T16:30:00Z
26,26,187,tagged,0.51,27,2026-04-20T16:30:00Z,2026-05-04T15:30:00Z
27,27,194,duet,0.39,28,2026-04-19T16:30:00Z,2026-05-04T14:30:00Z
28,28,201,inspired_by,0.93,29,2026-04-18T16:30:00Z,2026-05-04T13:30:00Z
29,29,208,follows,0.76,30,2026-04-17T16:30:00Z,2026-05-04T12:30:00Z
30,30,215,collaborates,0.45,31,2026-04-16T16:30:00Z,2026-05-04T11:30:00Z
31,31,222,mentioned,0.61,32,2026-04-15T16:30:00Z,2026-05-04T10:30:00Z
32,32,229,reshared,0.96,33,2026-04-14T16:30:00Z,2026-05-04T09:30:00Z
33,33,236,tagged,0.29,34,2026-04-13T16:30:00Z,2026-05-04T08:30:00Z
34,34,243,duet,0.68,35,2026-04-12T16:30:00Z,2026-05-04T07:30:00Z
35,35,250,inspired_by,0.81,36,2026-04-11T16:30:00Z,2026-05-04T06:30:00Z
36,36,257,follows,0.45,37,2026-04-10T16:30:00Z,2026-05-04T05:30:00Z
37,37,264,collaborates,0.8,38,2026-04-21T16:30:00Z,2026-05-04T04:30:00Z
38,38,271,mentioned,0.35,39,2026-04-20T16:30:00Z,2026-05-04T03:30:00Z
39,39,278,reshared,0.5,40,2026-04-19T16:30:00Z,2026-05-04T02:30:00Z
40,40,285,tagged,0.44,41,2026-04-18T16:30:00Z,2026-05-04T01:30:00Z
41,41,292,duet,0.64,42,2026-04-17T16:30:00Z,2026-05-04T00:30:00Z
42,42,299,inspired_by,0.89,43,2026-04-16T16:30:00Z,2026-05-03T23:30:00Z
43,43,306,follows,0.79,44,2026-04-15T16:30:00Z,2026-05-03T22:30:00Z
44,44,313,collaborates,0.6,45,2026-04-14T16:30:00Z,2026-05-03T21:30:00Z
45,45,320,mentioned,0.29,46,2026-04-13T16:30:00Z,2026-05-03T20:30:00Z
46,46,327,reshared,0.54,47,2026-04-12T16:30:00Z,2026-05-03T19:30:00Z
47,47,334,tagged,0.77,48,2026-04-11T16:30:00Z,2026-05-03T18:30:00Z
48,48,341,duet,0.9,49,2026-04-10T16:30:00Z,2026-05-03T17:30:00Z
49,49,348,inspired_by,0.79,50,2026-04-21T16:30:00Z,2026-05-05T16:30:00Z
50,50,355,follows,0.56,51,2026-04-20T16:30:00Z,2026-05-05T15:30:00Z
51,51,362,collaborates,0.96,52,2026-04-19T16:30:00Z,2026-05-05T14:30:00Z
52,52,369,mentioned,0.6,53,2026-04-18T16:30:00Z,2026-05-05T13:30:00Z
53,53,376,reshared,0.75,54,2026-04-17T16:30:00Z,2026-05-05T12:30:00Z
54,54,383,tagged,0.48,55,2026-04-16T16:30:00Z,2026-05-05T11:30:00Z
55,55,390,duet,0.67,56,2026-04-15T16:30:00Z,2026-05-05T10:30:00Z
56,56,397,inspired_by,0.51,57,2026-04-14T16:30:00Z,2026-05-05T09:30:00Z
57,57,404,follows,0.63,58,2026-04-13T16:30:00Z,2026-05-05T08:30:00Z
58,58,411,collaborates,0.71,59,2026-04-12T16:30:00Z,2026-05-05T07:30:00Z
59,59,418,mentioned,0.33,2,2026-04-11T16:30:00Z,2026-05-05T06:30:00Z
60,60,425,reshared,0.66,3,2026-04-10T16:30:00Z,2026-05-05T05:30:00Z
61,61,432,tagged,0.69,4,2026-04-21T16:30:00Z,2026-05-05T04:30:00Z
62,62,439,duet,0.32,5,2026-04-20T16:30:00Z,2026-05-05T03:30:00Z
63,63,446,inspired_by,0.87,6,2026-04-19T16:30:00Z,2026-05-05T02:30:00Z
64,64,453,follows,0.94,7,2026-04-18T16:30:00Z,2026-05-05T01:30:00Z
65,65,460,collaborates,0.73,8,2026-04-17T16:30:00Z,2026-05-05T00:30:00Z
66,66,467,mentioned,0.64,9,2026-04-16T16:30:00Z,2026-05-04T23:30:00Z
67,67,474,reshared,0.35,10,2026-04-15T16:30:00Z,2026-05-04T22:30:00Z
68,68,1,tagged,0.32,11,2026-04-14T16:30:00Z,2026-05-04T21:30:00Z
69,69,8,duet,0.93,12,2026-04-13T16:30:00Z,2026-05-04T20:30:00Z
70,70,15,inspired_by,0.51,13,2026-04-12T16:30:00Z,2026-05-04T19:30:00Z
