link_id,brand_id,influencer_id,relationship_type,post_count,avg_engagement,revenue_attributed,first_mention,last_mention
1,1,1,organic,3,9.34,112795,2026-04-23T16:30:00Z,2026-05-05T16:30:00Z
2,2,18,sponsored,4,2.66,273415,2026-04-22T16:30:00Z,2026-05-05T15:30:00Z
3,3,35,ambassador,5,6.55,766251,2026-04-21T16:30:00Z,2026-05-05T14:30:00Z
4,4,52,affiliate,6,8.96,678727,2026-04-20T16:30:00Z,2026-05-05T13:30:00Z
5,5,69,competitor_mention,7,7.55,685782,2026-04-19T16:30:00Z,2026-05-05T12:30:00Z
6,6,86,organic,8,7.6,403638,2026-04-18T16:30:00Z,2026-05-05T11:30:00Z
7,7,103,sponsored,9,7.78,765620,2026-04-17T16:30:00Z,2026-05-05T10:30:00Z
8,8,120,ambassador,10,2.34,105979,2026-04-16T16:30:00Z,2026-05-05T09:30:00Z
9,9,137,affiliate,11,3.02,462086,2026-04-15T16:30:00Z,2026-05-05T08:30:00Z
10,10,154,competitor_mention,12,5.63,116332,2026-04-23T16:30:00Z,2026-05-05T07:30:00Z
11,11,171,organic,13,9.82,737046,2026-04-22T16:30:00Z,2026-05-05T06:30:00Z
12,12,188,sponsored,14,2.19,479907,2026-04-21T16:30:00Z,2026-05-05T05:30:00Z
13,1,205,ambassador,15,8.19,324446,2026-04-20T16:30:00Z,2026-05-05T04:30:00Z
14,2,222,affiliate,16,3.14,435764,2026-04-19T16:30:00Z,2026-05-05T03:30:00Z
15,3,239,competitor_mention,17,8.83,560187,2026-04-18T16:30:00Z,2026-05-05T02:30:00Z
16,4,256,organic,18,5.62,565914,2026-04-17T16:30:00Z,2026-05-05T01:30:00Z
17,5,273,sponsored,19,8.49,83600,2026-04-16T16:30:00Z,2026-05-05T00:30:00Z
18,6,290,ambassador,20,9.05,37860,2026-04-15T16:30:00Z,2026-05-04T23:30:00Z
19,7,307,affiliate,21,4.64,402085,2026-04-23T16:30:00Z,2026-05-04T22:30:00Z
20,8,324,competitor_mention,22,8.76,605646,2026-04-22T16:30:00Z,2026-05-04T21:30:00Z
21,9,341,organic,23,6.3,457264,2026-04-21T16:30:00Z,2026-05-04T20:30:00Z
22,10,358,sponsored,24,1.6,539633,2026-04-20T16:30:00Z,2026-05-04T19:30:00Z
23,11,375,ambassador,25,4.38,85521,2026-04-19T16:30:00Z,2026-05-04T18:30:00Z
24,12,392,affiliate,26,8.31,556858,2026-04-18T16:30:00Z,2026-05-04T17:30:00Z
25,1,409,competitor_mention,27,6.7,339029,2026-04-17T16:30:00Z,2026-05-04T16:30:00Z
26,2,426,organic,28,6.05,508394,2026-04-16T16:30:00Z,2026-05-04T15:30:00Z
27,3,443,sponsored,29,6.96,83106,2026-04-15T16:30:00Z,2026-05-04T14:30:00Z
28,4,460,ambassador,30,1.77,252298,2026-04-23T16:30:00Z,2026-05-04T13:30:00Z
29,5,477,affiliate,3,9.22,45926,2026-04-22T16:30:00Z,2026-05-04T12:30:00Z
30,6,14,competitor_mention,4,6.97,519405,2026-04-21T16:30:00Z,2026-05-04T11:30:00Z
31,7,31,organic,5,5.11,184729,2026-04-20T16:30:00Z,2026-05-04T10:30:00Z
32,8,48,sponsored,6,9.39,77040,2026-04-19T16:30:00Z,2026-05-04T09:30:00Z
33,9,65,ambassador,7,4.67,255832,2026-04-18T16:30:00Z,2026-05-04T08:30:00Z
34,10,82,affiliate,8,7.42,477857,2026-04-17T16:30:00Z,2026-05-04T07:30:00Z
35,11,99,competitor_mention,9,9.71,648528,2026-04-16T16:30:00Z,2026-05-04T06:30:00Z
36,12,116,organic,10,5.11,207401,2026-04-15T16:30:00Z,2026-05-04T05:30:00Z
37,1,133,sponsored,11,1.66,672660,2026-04-23T16:30:00Z,2026-05-05T16:30:00Z
38,2,150,ambassador,12,3.31,349782,2026-04-22T16:30:00Z,2026-05-05T15:30:00Z
39,3,167,affiliate,13,8.55,472040,2026-04-21T16:30:00Z,2026-05-05T14:30:00Z
40,4,184,competitor_mention,14,6.44,155720,2026-04-20T16:30:00Z,2026-05-05T13:30:00Z
41,5,201,organic,15,2.85,178389,2026-04-19T16:30:00Z,2026-05-05T12:30:00Z
42,6,218,sponsored,16,2.39,223192,2026-04-18T16:30:00Z,2026-05-05T11:30:00Z
43,7,235,ambassador,17,3.65,505980,2026-04-17T16:30:00Z,2026-05-05T10:30:00Z
44,8,252,affiliate,18,3.24,577163,2026-04-16T16:30:00Z,2026-05-05T09:30:00Z
45,9,269,competitor_mention,19,2.72,248127,2026-04-15T16:30:00Z,2026-05-05T08:30:00Z
46,10,286,organic,20,5.74,537805,2026-04-23T16:30:00Z,2026-05-05T07:30:00Z
47,11,303,sponsored,21,3.98,392421,2026-04-22T16:30:00Z,2026-05-05T06:30:00Z
48,12,320,ambassador,22,4.93,44484,2026-04-21T16:30:00Z,2026-05-05T05:30:00Z
49,1,337,affiliate,23,4.85,391572,2026-04-20T16:30:00Z,2026-05-05T04:30:00Z
50,2,354,competitor_mention,24,8.89,708551,2026-04-19T16:30:00Z,2026-05-05T03:30:00Z
51,3,371,organic,25,1.86,305971,2026-04-18T16:30:00Z,2026-05-05T02:30:00Z
52,4,388,sponsored,26,6.76,116973,2026-04-17T16:30:00Z,2026-05-05T01:30:00Z
53,5,405,ambassador,27,5.06,343228,2026-04-16T16:30:00Z,2026-05-05T00:30:00Z
54,6,422,affiliate,28,6.61,317528,2026-04-15T16:30:00Z,2026-05-04T23:30:00Z
55,7,439,competitor_mention,29,2.66,552324,2026-04-23T16:30:00Z,2026-05-04T22:30:00Z
56,8,456,organic,30,8.85,688010,2026-04-22T16:30:00Z,2026-05-04T21:30:00Z
57,9,473,sponsored,3,5,283299,2026-04-21T16:30:00Z,2026-05-04T20:30:00Z
58,10,10,ambassador,4,4.73,171366,2026-04-20T16:30:00Z,2026-05-04T19:30:00Z
59,11,27,affiliate,5,8.25,347761,2026-04-19T16:30:00Z,2026-05-04T18:30:00Z
60,12,44,competitor_mention,6,4.45,552343,2026-04-18T16:30:00Z,2026-05-04T17:30:00Z
61,1,61,organic,7,6.81,593497,2026-04-17T16:30:00Z,2026-05-04T16:30:00Z
62,2,78,sponsored,8,5.42,748784,2026-04-16T16:30:00Z,2026-05-04T15:30:00Z
63,3,95,ambassador,9,6.56,647844,2026-04-15T16:30:00Z,2026-05-04T14:30:00Z
64,4,112,affiliate,10,1.82,328849,2026-04-23T16:30:00Z,2026-05-04T13:30:00Z
65,5,129,competitor_mention,11,8.61,221197,2026-04-22T16:30:00Z,2026-05-04T12:30:00Z
66,6,146,organic,12,5.5,569455,2026-04-21T16:30:00Z,2026-05-04T11:30:00Z
67,7,163,sponsored,13,8.28,224099,2026-04-20T16:30:00Z,2026-05-04T10:30:00Z
68,8,180,ambassador,14,4.22,534837,2026-04-19T16:30:00Z,2026-05-04T09:30:00Z
69,9,197,affiliate,15,7.41,275361,2026-04-18T16:30:00Z,2026-05-04T08:30:00Z
70,10,214,competitor_mention,16,3.95,757411,2026-04-17T16:30:00Z,2026-05-04T07:30:00Z
71,11,231,organic,17,8.28,104966,2026-04-16T16:30:00Z,2026-05-04T06:30:00Z
72,12,248,sponsored,18,9.18,327200,2026-04-15T16:30:00Z,2026-05-04T05:30:00Z
73,1,265,ambassador,19,6.4,740621,2026-04-23T16:30:00Z,2026-05-05T16:30:00Z
