region_id,region_name,region_type,boundary,population,avg_income,social_density,demand_index,updated_at
1,Silicon Valley AI Systems Corridor,metro,"POLYGON ((-122.4 37.1, -121.5 37.1, -121.5 37.9, -122.4 37.9, -122.4 37.1))",1800000,98000,12,64.5,2026-05-05T16:30:00Z
2,Arizona Fab Operations Belt,region,"POLYGON ((-113.2 32.8, -111.2 32.8, -111.2 34.3, -113.2 34.3, -113.2 32.8))",2220000,99700,22.1,93.5,2026-05-05T10:30:00Z
3,Texas Component Logistics Zone,state,"POLYGON ((-98.2 31.8, -95.8 31.8, -95.8 33.6, -98.2 33.6, -98.2 31.8))",2640000,101400,9.1,82.1,2026-05-05T04:30:00Z
4,Midwest Contract Manufacturing Cluster,region,"POLYGON ((-89 40.8, -86.8 40.8, -86.8 42.4, -89 42.4, -89 40.8))",3060000,103100,17.1,94.9,2026-05-04T22:30:00Z
5,Northeast PLM Handoff Corridor,metro,"POLYGON ((-74.8 40.2, -70.8 40.2, -70.8 42.8, -74.8 42.8, -74.8 40.2))",3480000,104800,7.3,77.2,2026-05-05T16:30:00Z
6,Southeast Quality Response Region,region,"POLYGON ((-85.5 32.2, -77.4 32.2, -77.4 36.4, -85.5 36.4, -85.5 32.2))",3900000,106500,7.2,80.1,2026-05-05T10:30:00Z
7,Pacific Connected Product Coast,region,"POLYGON ((-123.2 33.2, -117 33.2, -117 48.1, -123.2 48.1, -123.2 33.2))",4320000,108200,8.5,94,2026-05-05T04:30:00Z
8,Mountain Network Systems Region,region,"POLYGON ((-106.2 38.6, -103.1 38.6, -103.1 40.7, -106.2 40.7, -106.2 38.6))",4740000,109900,13.1,64.8,2026-05-04T22:30:00Z
9,Carolinas Field Quality Zone,region,"POLYGON ((-82 34, -77 34, -77 36.8, -82 36.8, -82 34))",5160000,111600,13.1,90.4,2026-05-05T16:30:00Z
10,Florida Channel Inventory Region,state,"POLYGON ((-82.8 24.6, -79.6 24.6, -79.6 27.2, -82.8 27.2, -82.8 24.6))",5580000,113300,18.6,62.6,2026-05-05T10:30:00Z
11,New York Support Operations Metro,metro,"POLYGON ((-74.4 40.3, -73.4 40.3, -73.4 41.1, -74.4 41.1, -74.4 40.3))",6000000,115000,14.2,73.3,2026-05-05T04:30:00Z
12,Southern California Electronics Port,metro,"POLYGON ((-118.9 33.5, -117.4 33.5, -117.4 34.5, -118.9 34.5, -118.9 33.5))",6420000,116700,9.7,87.9,2026-05-04T22:30:00Z
13,Pacific Northwest Demand Volatility Zone,region,"POLYGON ((-123.4 45.1, -121 45.1, -121 48.8, -123.4 48.8, -123.4 45.1))",6840000,118400,13,65.3,2026-05-05T16:30:00Z
14,Great Lakes Supplier Risk Zone,region,"POLYGON ((-88.4 41.2, -82.2 41.2, -82.2 44.5, -88.4 44.5, -88.4 41.2))",7260000,120100,10.5,81.9,2026-05-05T10:30:00Z
15,Gulf Coast Industrial IoT Region,region,"POLYGON ((-96 28.8, -89 28.8, -89 31.2, -96 31.2, -96 28.8))",7680000,121800,17.4,95,2026-05-05T04:30:00Z
16,Mid-Atlantic Customer Commitment Belt,region,"POLYGON ((-78.8 37, -73 37, -73 40.2, -78.8 40.2, -78.8 37))",8100000,123500,18.1,94.9,2026-05-04T22:30:00Z
17,Rocky Mountain Edge Systems Zone,region,"POLYGON ((-112.4 39, -104.2 39, -104.2 45, -112.4 45, -112.4 39))",8520000,125200,21.5,75.5,2026-05-05T16:30:00Z
18,Central Plains Capacity Planning Region,region,"POLYGON ((-101.6 36.5, -94 36.5, -94 40.2, -101.6 40.2, -101.6 36.5))",8940000,126900,13.5,88.8,2026-05-05T10:30:00Z
19,Tennessee Valley Assembly Region,region,"POLYGON ((-90.2 34.2, -84 34.2, -84 36.8, -90.2 36.8, -90.2 34.2))",9360000,128600,11.1,69,2026-05-05T04:30:00Z
20,New England Warranty Analytics Corridor,region,"POLYGON ((-73.5 41, -69.2 41, -69.2 44.8, -73.5 44.8, -73.5 41))",9780000,130300,12.6,80.7,2026-05-04T22:30:00Z
