post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
1,67,tiktok,ext_tiktok_00000001,EMA variation update references Imported API Release Lot; PortBio Supply release plan should be reviewed,2026-04-20T16:01:29Z,233,44,22,2888,0.738,20.56,,normal,,2026-05-13T09:49:19Z
2,63,twitter,ext_twitter_00000002,Pharmacovigilance intake volume is rising across marketed therapies,2026-05-13T08:55:54Z,6322,1185,756,190637,0.034,48.92,,rising,,2026-05-13T09:49:19Z
3,267,youtube,ext_youtube_00000003,Cold-chain routing desk reports new lane restrictions near a major airport hub,2026-05-01T14:27:56Z,319,94,44,10421,0.452,22.66,,normal,,2026-05-13T09:49:19Z
4,115,threads,ext_threads_00000004,Single-use component availability tightened after a supplier capacity outage,2026-04-29T22:04:49Z,148,0,35,1512,0.519,19.34,,normal,,2026-05-13T09:49:19Z
5,76,instagram,ext_instagram_00000005,Critical component shortage advisory raised for Labeling Change Impact Review; SafeGx Quality Labs lead times may extend this week,2026-04-25T11:54:46Z,595,47,7,13579,0.018,23.1,,normal,,2026-05-13T09:49:19Z
6,42,tiktok,ext_tiktok_00000006,Trial sites are increasing demand for diagnostic kits and sample logistics,2026-05-13T09:16:08Z,15,61,5,12360,-0.116,21.64,,normal,,2026-05-13T09:49:19Z
7,341,twitter,ext_twitter_00000007,Allocation notice issued for Digital Pathology Slide Batch; BioPure Diagnostics prioritizing enrolled trial sites first,2026-05-12T23:37:55Z,622,63,27,686,0.491,19.35,,normal,,2026-05-13T09:49:19Z
8,462,youtube,ext_youtube_00000008,Temperature excursion reviews are pending for biologics and cell therapy shipments,2026-05-07T16:27:33Z,641,5,15,9503,-0.069,22.62,,normal,,2026-05-13T09:49:19Z
9,5,threads,ext_threads_00000009,Temperature excursion warning updated for Low-Waste Lab Starter Pack; verify release hold before receiving GreenLab Reagents lots,2026-04-17T21:04:14Z,701,84,45,13452,-0.075,23.39,,normal,,2026-05-13T09:49:19Z
10,104,youtube,ext_youtube_00000010,Port congestion signal may delay BioCatalyst Analytics PAT Spectroscopy Model Pack; cold-chain routing needs updated ETA,2026-04-27T23:42:30Z,236,2,25,5497,0.634,21.22,,normal,,2026-05-13T09:49:19Z
11,331,twitter,ext_twitter_00000011,Enrollment surge detected for eConsent Participant Packet; TrialPath CRO order book rising after protocol update,2026-05-10T09:33:29Z,5768,1650,209,74949,0.684,47.6,,rising,,2026-05-13T09:49:19Z
12,223,twitter,ext_twitter_00000012,Pharmacovigilance intake volume is rising across marketed therapies,2026-04-28T12:18:18Z,13886,3943,7379,850828,-0.209,77.07,,viral,,2026-05-13T09:49:19Z
13,261,twitter,ext_twitter_00000013,FDA safety update references downstream use of Animal Health Vaccine Batch; PreClinix Research compliance packet under review,2026-05-13T09:38:52Z,132,78,14,4816,0.537,21.09,,normal,,2026-05-13T09:49:19Z
14,465,tiktok,ext_tiktok_00000014,Manufacturer quality note: SafeGx Quality Labs reported tighter specifications for GxP Audit Evidence Bundle effective next batch,2026-04-17T06:50:18Z,5743,1287,247,93324,0.575,47.82,,rising,,2026-05-13T09:49:19Z
15,85,threads,ext_threads_00000015,Air freight capacity watch added for eConsent Participant Packet; TrialPath CRO shipments through hub corridor need monitoring,2026-05-11T22:00:29Z,9635,1569,155,92572,0.54,48.14,,rising,,2026-05-13T09:49:19Z
16,50,threads,ext_threads_00000016,Critical inventory advisory opened for TrialPath CRO eConsent Participant Packet; replenish regional cold-chain sites,2026-04-29T16:19:47Z,885,17,5,5458,0.111,22.15,,normal,,2026-05-13T09:49:19Z
17,481,twitter,ext_twitter_00000017,Vaccine safety desk highlights Sterile Connector Assembly; SterileProcess Systems availability could tighten next month,2026-05-11T11:07:23Z,390,74,22,10945,0.715,22.68,,normal,,2026-05-13T09:49:19Z
18,411,twitter,ext_twitter_00000018,Companion diagnostics bulletin notes elevated demand for Trace Impurity Reference Standard; FineBio Direct allocation score rising,2026-05-13T08:07:55Z,615,30,8,231,-0.166,17.78,,normal,,2026-05-13T09:49:19Z
19,457,youtube,ext_youtube_00000019,Device engineering flagged substitute review for Prefilled Syringe Component Kit; MedPack Components technical file updated,2026-05-07T11:00:53Z,8327,1896,673,122858,0.061,48.57,,rising,,2026-05-13T09:49:19Z
20,117,tiktok,ext_tiktok_00000020,FDA inspection observations increased for sterile manufacturing sites this week,2026-04-26T07:20:44Z,918,36,21,12056,0.198,23.29,,normal,,2026-05-13T09:49:19Z
21,356,twitter,ext_twitter_00000021,ColdChainOps escalated Pharmacovigilance Case Pack; verify temperature profile and packaging before next SafeGx Quality Labs shipment,2026-05-10T12:08:56Z,3306,1009,699,67712,0.145,47.23,,rising,,2026-05-13T09:49:19Z
22,134,youtube,ext_youtube_00000022,Market access desk reports payer coverage movement for Ambient Biospecimen Ship Kit; GreenLab Reagents quotes expiring faster,2026-04-15T07:39:31Z,573,17,46,760,0.687,19.39,,normal,,2026-05-13T09:49:19Z
23,267,youtube,ext_youtube_00000023,Manufacturer onboarding alert: secondary source needed for MedPack Components Sterile Vial Stopper Set due to capacity risk,2026-05-13T06:14:36Z,782,15,26,9611,-0.116,22.85,,normal,,2026-05-13T09:49:19Z
24,149,youtube,ext_youtube_00000024,Single-use component availability tightened after a supplier capacity outage,2026-05-12T05:00:42Z,513,25,44,3717,0.191,21.39,,normal,,2026-05-13T09:49:19Z
25,459,instagram,ext_instagram_00000025,Storage temperature note changed for Gamma-Irradiated Tubing Set; update receiving checklist for SterileProcess Systems,2026-05-02T18:03:33Z,806,4,5,3830,0.474,21.59,,normal,,2026-05-13T09:49:19Z
26,220,threads,ext_threads_00000026,PortSupply signal shows longer dwell time for Clean Steam Integrity Audit; reroute CleanSteamCare orders where possible,2026-05-04T23:36:18Z,881,90,33,18193,-0.163,23.91,,normal,,2026-05-13T09:49:19Z
27,95,threads,ext_threads_00000027,Vaccine allocation score rose after a regional safety bulletin,2026-05-09T20:06:31Z,481,2,8,7079,-0.469,21.96,,normal,,2026-05-13T09:49:19Z
28,288,threads,ext_threads_00000028,Forecast model detected signal cluster around MedPack Components Sterile Vial Stopper Set; expected demand multiplier increasing,2026-04-21T06:07:04Z,500,74,12,10696,0.318,22.76,,normal,,2026-05-13T09:49:19Z
29,67,tiktok,ext_tiktok_00000029,Port dwell time is rising for regulated clinical supply containers,2026-05-10T22:11:50Z,5179,718,757,125225,0.384,48.19,,rising,,2026-05-13T09:49:19Z
30,114,youtube,ext_youtube_00000030,FDA inspection signal mentions NGS Oncology Library Kit from BioPure Diagnostics; quality team requested lot genealogy review,2026-05-07T05:06:13Z,34968,7826,1217,700822,0.312,77.01,,viral,,2026-05-13T09:49:19Z
31,5,threads,ext_threads_00000031,EMA variation update references Prefilled Syringe Component Kit; MedPack Components release plan should be reviewed,2026-05-12T20:59:51Z,395,53,16,14116,0.712,22.93,,normal,,2026-05-13T09:49:19Z
32,462,youtube,ext_youtube_00000032,Protocol amendment increases demand for USP Propylene Glycol Excipient; PharmaPrep trial supply forecast needs refresh,2026-05-10T20:58:11Z,817,72,39,646,0.615,19.5,,normal,,2026-05-13T09:49:19Z
33,384,instagram,ext_instagram_00000033,Cold-chain routing desk reports new lane restrictions near a major airport hub,2026-04-23T02:20:07Z,860,51,22,15343,0.577,23.58,,normal,,2026-05-13T09:49:19Z
34,420,tiktok,ext_tiktok_00000034,Single-use component availability tightened after a supplier capacity outage,2026-04-13T16:40:09Z,427,89,23,9207,-0.206,22.55,,normal,,2026-05-13T09:49:19Z
35,224,youtube,ext_youtube_00000035,Critical component shortage advisory raised for Citrate Buffer USP Batch; CitrateSource Pharma lead times may extend this week,2026-05-05T12:00:39Z,559,29,15,8716,0.566,22.46,,normal,,2026-05-13T09:49:19Z
36,465,tiktok,ext_tiktok_00000036,Out-of-specification trend opened for CitrateSource Pharma Citrate Buffer USP Batch; QA teams should inspect recent lots,2026-05-02T18:33:18Z,5392,1629,228,193779,0.013,48.8,,rising,,2026-05-13T09:49:19Z
37,350,tiktok,ext_tiktok_00000037,Allocation notice issued for Cryopreserved Dose Shipper; GeneNova Therapeutics prioritizing enrolled trial sites first,2026-05-13T01:00:27Z,34,62,11,7968,0.258,21.27,,normal,,2026-05-13T09:49:19Z
38,409,instagram,ext_instagram_00000038,Temperature excursion reviews are pending for biologics and cell therapy shipments,2026-05-04T20:33:45Z,801,22,45,8728,0.038,22.81,,normal,,2026-05-13T09:49:19Z
39,189,youtube,ext_youtube_00000039,Temperature excursion warning updated for Ambient Biospecimen Ship Kit; verify release hold before receiving GreenLab Reagents lots,2026-05-08T10:07:57Z,2215,1207,586,121841,0.538,47.87,,rising,,2026-05-13T09:49:19Z
