connection_id,from_influencer,to_influencer,connection_type,strength,interaction_count,first_seen,last_interaction
1,51,150,collaborates,0.34,160,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
2,56,407,mentioned,0.599,118,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
3,182,158,reshared,0.711,123,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
4,293,323,tagged,0.706,95,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
5,159,113,duet,0.376,145,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
6,364,449,inspired_by,0.582,141,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
8,14,454,collaborates,0.676,119,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
9,335,193,mentioned,0.734,28,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
11,140,224,tagged,0.726,151,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
12,227,470,duet,0.333,164,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
13,284,462,inspired_by,0.241,178,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
14,20,293,follows,0.809,182,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
15,257,151,collaborates,0.672,29,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
17,351,189,reshared,0.78,19,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
18,183,437,tagged,0.373,121,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
19,336,2,duet,0.534,40,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
20,427,390,inspired_by,0.575,77,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
22,256,211,collaborates,0.555,41,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
23,344,167,mentioned,0.353,50,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
25,412,222,tagged,0.863,166,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
26,415,277,duet,0.484,53,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
27,463,314,inspired_by,0.182,182,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
28,192,155,follows,0.365,136,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
30,306,339,mentioned,0.33,83,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
31,355,18,reshared,0.407,56,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
32,143,90,tagged,0.642,104,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
33,223,163,duet,0.131,143,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
34,176,469,inspired_by,0.682,21,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
36,366,393,collaborates,0.896,41,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
37,343,241,mentioned,0.567,106,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
38,44,66,reshared,0.468,112,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
39,240,94,tagged,0.203,27,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
40,366,14,duet,0.806,79,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
41,476,62,inspired_by,0.662,149,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
42,133,463,follows,0.803,68,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
43,85,92,collaborates,0.262,74,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
44,241,69,mentioned,0.652,84,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
45,259,423,reshared,0.832,76,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
46,156,6,tagged,0.175,188,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
47,256,73,duet,0.863,21,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
48,483,212,inspired_by,0.548,160,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
50,364,328,collaborates,0.585,174,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
51,333,344,mentioned,0.909,116,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
52,135,12,reshared,0.984,3,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
53,25,456,tagged,0.562,13,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
54,20,426,duet,0.404,98,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
55,135,232,inspired_by,0.863,51,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
56,183,138,follows,0.226,23,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
57,388,411,collaborates,0.442,46,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
59,275,350,reshared,0.962,118,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
60,17,33,tagged,0.96,114,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
61,38,178,duet,0.247,5,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
62,147,411,inspired_by,0.361,43,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
64,465,334,collaborates,0.985,93,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
65,263,138,mentioned,0.829,16,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
66,87,134,reshared,0.296,122,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
67,315,232,tagged,0.687,15,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
68,459,145,duet,0.151,70,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
69,409,6,inspired_by,0.345,134,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
70,57,212,follows,0.395,172,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
71,167,318,collaborates,0.409,150,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
72,409,135,mentioned,0.704,19,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
73,488,378,reshared,0.703,42,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
74,167,86,tagged,0.261,143,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
75,409,401,duet,0.183,47,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
76,64,171,inspired_by,0.609,181,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
77,253,265,follows,0.804,13,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
78,54,153,collaborates,0.397,174,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
79,455,76,mentioned,0.848,2,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
80,269,437,reshared,0.732,126,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
81,118,159,tagged,0.352,55,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
82,230,116,duet,0.161,133,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
83,406,180,inspired_by,0.911,49,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
84,382,439,follows,0.794,171,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
85,91,62,collaborates,0.83,188,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
86,287,1,mentioned,0.971,183,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
88,32,433,tagged,0.414,15,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
89,68,183,duet,0.552,119,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
90,287,311,inspired_by,0.615,68,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
91,444,336,follows,0.375,177,2026-05-13T09:49:20Z,2026-05-13T09:49:20Z
