forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
1,1,Bay Area (SF),2026-05-14,116,93,173,1.27,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
2,1,Bay Area (SF),2026-05-15,126,101,181,1.33,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
3,1,Bay Area (SF),2026-05-16,155,109,189,1.39,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
4,1,Bay Area (SF),2026-05-17,174,117,197,1.24,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
5,1,Bay Area (SF),2026-05-18,174,125,205,1.48,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
6,1,Bay Area (SF),2026-05-19,172,133,213,1.34,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
7,1,Bay Area (SF),2026-05-20,181,141,221,1.56,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
8,1,Bay Area (SF),2026-05-21,177,149,229,1.45,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
9,1,Bay Area (SF),2026-05-22,201,157,237,1.51,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
10,1,Bay Area (SF),2026-05-23,207,165,245,1.5,signal_aware_v2,"{""model"":""signal_aware_v2"",""drivers"":[""gxp_deviation_spike"",""manufacturer_allocation_notice"",""temperature_excursion_review""],""top_source"":""@gxpdesk"",""criticality_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T09:49:20Z
