mention_id,post_id,product_id,confidence_score,mention_type,created_at
1,1,76,0.955,semantic,2026-05-13T09:49:19Z
2,5,39,0.829,direct,2026-05-13T09:49:19Z
3,7,15,0.939,hashtag,2026-05-13T09:49:19Z
4,9,50,0.79,inferred,2026-05-13T09:49:19Z
5,10,57,0.893,direct,2026-05-13T09:49:19Z
6,11,7,0.846,semantic,2026-05-13T09:49:19Z
7,13,27,0.749,visual,2026-05-13T09:49:19Z
8,14,38,0.798,inferred,2026-05-13T09:49:19Z
9,15,7,0.796,direct,2026-05-13T09:49:19Z
10,16,7,0.855,semantic,2026-05-13T09:49:19Z
11,17,42,0.999,hashtag,2026-05-13T09:49:19Z
12,18,75,0.875,visual,2026-05-13T09:49:19Z
13,19,52,0.745,inferred,2026-05-13T09:49:19Z
14,21,40,0.943,semantic,2026-05-13T09:49:19Z
15,22,48,0.768,hashtag,2026-05-13T09:49:19Z
16,23,51,0.818,visual,2026-05-13T09:49:19Z
17,25,43,0.731,direct,2026-05-13T09:49:19Z
18,26,71,0.906,semantic,2026-05-13T09:49:19Z
19,28,51,0.955,visual,2026-05-13T09:49:19Z
20,30,12,0.909,direct,2026-05-13T09:49:19Z
21,31,52,0.9,semantic,2026-05-13T09:49:19Z
22,32,72,0.983,hashtag,2026-05-13T09:49:19Z
23,35,67,0.875,direct,2026-05-13T09:49:19Z
24,36,67,0.716,semantic,2026-05-13T09:49:19Z
25,37,20,0.747,hashtag,2026-05-13T09:49:19Z
26,39,48,0.714,inferred,2026-05-13T09:49:19Z
27,40,4,0.969,direct,2026-05-13T09:49:19Z
28,41,69,0.748,semantic,2026-05-13T09:49:19Z
29,45,46,0.733,direct,2026-05-13T09:49:19Z
30,47,79,0.821,hashtag,2026-05-13T09:49:19Z
31,48,52,0.98,visual,2026-05-13T09:49:19Z
32,50,14,0.749,direct,2026-05-13T09:49:19Z
33,52,55,0.753,hashtag,2026-05-13T09:49:19Z
34,53,40,0.99,visual,2026-05-13T09:49:19Z
35,55,64,0.897,direct,2026-05-13T09:49:19Z
36,58,71,0.994,visual,2026-05-13T09:49:19Z
37,59,31,0.718,inferred,2026-05-13T09:49:19Z
38,60,66,0.88,direct,2026-05-13T09:49:19Z
39,61,12,0.878,semantic,2026-05-13T09:49:19Z
40,63,58,0.994,visual,2026-05-13T09:49:19Z
41,64,22,0.824,inferred,2026-05-13T09:49:19Z
42,65,76,0.748,direct,2026-05-13T09:49:19Z
43,66,60,0.779,semantic,2026-05-13T09:49:19Z
44,68,54,0.821,visual,2026-05-13T09:49:19Z
45,69,50,0.947,inferred,2026-05-13T09:49:19Z
46,70,13,0.871,direct,2026-05-13T09:49:19Z
47,71,18,0.929,semantic,2026-05-13T09:49:19Z
48,72,43,0.915,hashtag,2026-05-13T09:49:19Z
49,73,73,0.889,visual,2026-05-13T09:49:19Z
50,74,40,0.774,inferred,2026-05-13T09:49:19Z
51,75,13,0.886,direct,2026-05-13T09:49:19Z
52,76,45,0.946,semantic,2026-05-13T09:49:19Z
53,78,45,0.956,visual,2026-05-13T09:49:19Z
54,79,59,0.709,inferred,2026-05-13T09:49:19Z
55,81,9,0.917,semantic,2026-05-13T09:49:19Z
56,85,39,0.774,direct,2026-05-13T09:49:19Z
57,88,52,0.814,visual,2026-05-13T09:49:19Z
58,89,68,0.797,inferred,2026-05-13T09:49:19Z
59,90,40,0.78,direct,2026-05-13T09:49:19Z
60,91,49,0.963,semantic,2026-05-13T09:49:19Z
61,92,41,0.973,hashtag,2026-05-13T09:49:19Z
62,93,3,0.849,visual,2026-05-13T09:49:19Z
63,94,25,0.961,inferred,2026-05-13T09:49:19Z
64,95,44,0.917,direct,2026-05-13T09:49:19Z
65,96,30,0.717,semantic,2026-05-13T09:49:19Z
66,97,46,0.819,hashtag,2026-05-13T09:49:19Z
67,98,1,0.742,visual,2026-05-13T09:49:19Z
68,99,40,0.927,inferred,2026-05-13T09:49:19Z
69,100,68,0.853,direct,2026-05-13T09:49:19Z
70,101,1,0.841,semantic,2026-05-13T09:49:19Z
71,102,72,0.807,hashtag,2026-05-13T09:49:19Z
72,103,13,0.9,visual,2026-05-13T09:49:19Z
73,104,59,0.959,inferred,2026-05-13T09:49:19Z
74,105,26,0.914,direct,2026-05-13T09:49:19Z
75,106,73,0.954,semantic,2026-05-13T09:49:19Z
76,107,12,0.815,hashtag,2026-05-13T09:49:19Z
77,108,5,0.968,visual,2026-05-13T09:49:19Z
78,109,53,0.711,inferred,2026-05-13T09:49:19Z
79,111,8,0.821,semantic,2026-05-13T09:49:19Z
80,112,37,0.796,hashtag,2026-05-13T09:49:19Z
81,113,49,0.856,visual,2026-05-13T09:49:19Z
82,117,1,0.71,hashtag,2026-05-13T09:49:19Z
83,118,77,0.73,visual,2026-05-13T09:49:19Z
84,120,30,0.83,direct,2026-05-13T09:49:19Z
85,121,8,0.774,semantic,2026-05-13T09:49:19Z
86,122,6,0.896,hashtag,2026-05-13T09:49:19Z
87,125,16,0.861,direct,2026-05-13T09:49:19Z
88,127,8,0.713,hashtag,2026-05-13T09:49:19Z
89,129,11,0.898,inferred,2026-05-13T09:49:19Z
90,130,22,0.995,direct,2026-05-13T09:49:19Z
91,132,41,0.837,hashtag,2026-05-13T09:49:19Z
92,133,36,0.795,visual,2026-05-13T09:49:19Z
93,134,42,0.803,inferred,2026-05-13T09:49:19Z
94,135,26,0.838,direct,2026-05-13T09:49:19Z
95,136,22,0.713,semantic,2026-05-13T09:49:19Z
96,137,26,0.983,hashtag,2026-05-13T09:49:19Z
97,138,4,0.853,visual,2026-05-13T09:49:19Z
98,139,56,0.75,inferred,2026-05-13T09:49:19Z
99,140,77,0.938,direct,2026-05-13T09:49:19Z
100,141,78,0.865,semantic,2026-05-13T09:49:19Z
101,142,68,0.962,hashtag,2026-05-13T09:49:19Z
102,143,28,0.986,visual,2026-05-13T09:49:19Z
103,144,79,0.998,inferred,2026-05-13T09:49:19Z
104,146,5,0.999,semantic,2026-05-13T09:49:19Z
105,147,70,0.893,hashtag,2026-05-13T09:49:19Z
106,148,49,0.829,visual,2026-05-13T09:49:19Z
107,149,29,0.833,inferred,2026-05-13T09:49:19Z
