post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
1,355,tiktok,ext_tiktok_00000001,Final-mile capacity is the top request in our shipper operations forum this week,2026-04-16T15:35:57Z,44,67,23,10038,0.461,0.53,,normal,,2026-05-13T10:00:44Z
2,42,tiktok,ext_tiktok_00000002,Terminal update: Rail ETA Visibility Kit capacity at Intermodal Direct is getting tight after a spike in tenders,2026-04-20T16:12:23Z,597,22,21,5899,0.793,0.85,,normal,,2026-05-13T10:00:44Z
3,,youtube,ext_youtube_00000003,Remote trailer alerts are helping the team catch dwell risk before a missed delivery,2026-05-12T00:07:31Z,5666,284,802,78619,0.049,11.6,,rising,,2026-05-13T10:00:44Z
4,48,twitter,ext_twitter_00000004,Weather and port congestion are delaying service commitments for several shipper groups,2026-04-19T02:38:31Z,7019,455,712,68670,0.04,13.09,,rising,,2026-05-13T10:00:44Z
5,490,threads,ext_threads_00000005,The terminal is seeing increased demand for linehaul capacity after a national shipper launch,2026-05-04T21:57:06Z,818,68,15,1472,-0.15,1.18,,normal,,2026-05-13T10:00:44Z
6,357,youtube,ext_youtube_00000006,Accounts keep asking where to find Remote Yard Check Onboarding. HomePort Distribution is showing up in every routing thread,2026-05-11T20:53:51Z,826,92,8,3682,0.511,1.27,,normal,,2026-05-13T10:00:44Z
7,195,threads,ext_threads_00000007,Control tower huddle: prioritize WellNest Passenger Mobility School Route Capacity Review tenders before the weekend surge,2026-04-22T19:40:27Z,693,86,9,1821,0.918,1.1,,normal,,2026-05-13T10:00:44Z
8,350,tiktok,ext_tiktok_00000008,Network planners are coordinating tenders across regional terminals today,2026-05-07T06:19:46Z,26,50,32,8112,0.052,0.47,,normal,,2026-05-13T10:00:44Z
9,487,tiktok,ext_tiktok_00000009,"If your shippers need Brokered Truckload Match, check ClearLane Brokerage availability early; slots are moving fast",2026-05-12T20:53:26Z,727,39,42,8454,0.252,1.18,,normal,,2026-05-13T10:00:44Z
10,185,threads,ext_threads_00000010,Day 30 with the Priority Recovery Dispatch workflow and dispatch says PulsePoint Transit reduced manual follow-up,2026-04-29T10:02:17Z,453,26,18,16735,0.318,0.81,,normal,,2026-05-13T10:00:44Z
