inventory_id,product_id,center_id,quantity_on_hand,quantity_reserved,quantity_incoming,reorder_point,reorder_qty,last_restock_date,updated_at
1,1,1,113,57,127,81,162,2026-05-02,2026-05-05T14:30:00Z
2,1,2,182,69,63,82,164,2026-05-01,2026-05-05T13:30:00Z
3,1,3,287,149,157,83,166,2026-04-30,2026-05-05T12:30:00Z
4,1,4,250,75,146,84,168,2026-04-29,2026-05-05T11:30:00Z
5,1,5,212,92,105,85,170,2026-04-28,2026-05-05T10:30:00Z
6,1,6,50,16,143,86,172,2026-04-27,2026-05-05T09:30:00Z
7,1,7,357,137,88,87,174,2026-04-26,2026-05-05T08:30:00Z
8,1,8,408,70,148,88,176,2026-04-25,2026-05-05T07:30:00Z
9,1,9,136,42,161,89,178,2026-04-24,2026-05-05T06:30:00Z
10,1,10,443,139,42,90,180,2026-05-04,2026-05-05T05:30:00Z
11,1,11,233,84,77,91,182,2026-05-03,2026-05-05T04:30:00Z
12,1,12,238,102,48,92,184,2026-05-02,2026-05-05T03:30:00Z
13,2,1,279,114,117,82,164,2026-05-01,2026-05-05T13:30:00Z
14,2,2,388,145,169,84,168,2026-04-30,2026-05-05T12:30:00Z
15,2,3,217,93,85,86,172,2026-04-29,2026-05-05T11:30:00Z
16,2,4,191,33,84,88,176,2026-04-28,2026-05-05T10:30:00Z
17,2,5,68,34,187,90,180,2026-04-27,2026-05-05T09:30:00Z
18,2,6,186,40,88,92,184,2026-04-26,2026-05-05T08:30:00Z
19,2,7,251,50,158,94,188,2026-04-25,2026-05-05T07:30:00Z
20,2,8,462,95,128,96,192,2026-04-24,2026-05-05T06:30:00Z
21,2,9,273,107,108,98,196,2026-05-04,2026-05-05T05:30:00Z
22,2,10,404,153,128,100,200,2026-05-03,2026-05-05T04:30:00Z
23,2,11,235,39,122,102,204,2026-05-02,2026-05-05T03:30:00Z
24,2,12,38,8,101,104,208,2026-05-01,2026-05-05T02:30:00Z
25,3,1,418,72,147,83,166,2026-04-30,2026-05-05T12:30:00Z
26,3,2,237,102,81,86,172,2026-04-29,2026-05-05T11:30:00Z
27,3,3,408,64,37,89,178,2026-04-28,2026-05-05T10:30:00Z
28,3,4,46,19,53,92,184,2026-04-27,2026-05-05T09:30:00Z
29,3,5,268,99,81,95,190,2026-04-26,2026-05-05T08:30:00Z
30,3,6,417,121,137,98,196,2026-04-25,2026-05-05T07:30:00Z
31,3,7,110,17,44,101,202,2026-04-24,2026-05-05T06:30:00Z
32,3,8,295,64,121,104,208,2026-05-04,2026-05-05T05:30:00Z
33,3,9,389,54,216,107,214,2026-05-03,2026-05-05T04:30:00Z
34,3,10,328,148,150,110,220,2026-05-02,2026-05-05T03:30:00Z
35,3,11,44,23,56,113,226,2026-05-01,2026-05-05T02:30:00Z
36,3,12,200,78,157,116,232,2026-04-30,2026-05-05T01:30:00Z
37,4,1,287,140,37,84,168,2026-04-29,2026-05-05T11:30:00Z
38,4,2,283,114,139,88,176,2026-04-28,2026-05-05T10:30:00Z
39,4,3,26,11,144,92,184,2026-04-27,2026-05-05T09:30:00Z
40,4,4,216,37,59,96,192,2026-04-26,2026-05-05T08:30:00Z
41,4,5,517,183,46,100,200,2026-04-25,2026-05-05T07:30:00Z
42,4,6,289,47,209,104,208,2026-04-24,2026-05-05T06:30:00Z
43,4,7,503,95,158,108,216,2026-05-04,2026-05-05T05:30:00Z
44,4,8,411,196,114,112,224,2026-05-03,2026-05-05T04:30:00Z
45,4,9,168,61,144,116,232,2026-05-02,2026-05-05T03:30:00Z
46,4,10,75,26,138,120,240,2026-05-01,2026-05-05T02:30:00Z
47,4,11,578,110,126,124,248,2026-04-30,2026-05-05T01:30:00Z
48,4,12,353,66,99,128,256,2026-04-29,2026-05-05T00:30:00Z
49,5,1,292,101,155,85,170,2026-04-28,2026-05-05T10:30:00Z
50,5,2,57,9,165,90,180,2026-04-27,2026-05-05T09:30:00Z
51,5,3,351,126,148,95,190,2026-04-26,2026-05-05T08:30:00Z
52,5,4,460,198,216,100,200,2026-04-25,2026-05-05T07:30:00Z
53,5,5,276,79,158,105,210,2026-04-24,2026-05-05T06:30:00Z
54,5,6,356,119,144,110,220,2026-05-04,2026-05-05T05:30:00Z
55,5,7,327,121,210,115,230,2026-05-03,2026-05-05T04:30:00Z
56,5,8,420,134,177,120,240,2026-05-02,2026-05-05T03:30:00Z
57,5,9,41,13,67,125,250,2026-05-01,2026-05-05T02:30:00Z
58,5,10,566,118,176,130,260,2026-04-30,2026-05-05T01:30:00Z
59,5,11,176,56,247,135,270,2026-04-29,2026-05-05T00:30:00Z
60,5,12,253,117,167,140,280,2026-04-28,2026-05-04T23:30:00Z
61,6,1,42,11,116,86,172,2026-04-27,2026-05-05T09:30:00Z
