shipment_id,order_id,center_id,carrier,tracking_number,ship_status,distance_km,estimated_hours,ship_cost,shipped_at,delivered_at,created_at
1,1,1,Oracle Logistics Cloud,HTR00000001,preparing,241,42.6,196.3,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
2,2,6,Silicon Route Express,HTR00000002,packed,1058,6.4,402.2,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
3,3,11,FabLine Freight,HTR00000003,shipped,2574,64.2,242.86,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
4,4,4,ChannelFlow Priority,HTR00000004,delivered,1053,53.2,69.74,2026-05-05T13:30:00Z,2026-05-05T14:30:00Z,2026-05-05T12:30:00Z
5,5,9,Oracle Logistics Cloud,HTR00000005,out_for_delivery,966,12.8,89.74,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
6,6,2,Silicon Route Express,HTR00000006,preparing,1146,51,75.55,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
7,7,7,FabLine Freight,HTR00000007,packed,2078,30.4,331.4,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
8,8,12,ChannelFlow Priority,HTR00000008,shipped,877,11.2,298.15,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
9,9,5,Oracle Logistics Cloud,HTR00000009,in_transit,2611,56.2,265.37,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
10,10,10,Silicon Route Express,HTR00000010,out_for_delivery,1329,22.1,130.24,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
11,11,3,FabLine Freight,HTR00000011,preparing,314,40.6,180.31,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
12,12,8,ChannelFlow Priority,HTR00000012,delivered,2465,31.1,247.8,2026-05-05T13:30:00Z,2026-05-05T14:30:00Z,2026-05-05T12:30:00Z
13,13,1,Oracle Logistics Cloud,HTR00000013,shipped,1785,45.4,366.22,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
14,14,6,Silicon Route Express,HTR00000014,in_transit,2318,52.3,271.69,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
15,15,11,FabLine Freight,HTR00000015,out_for_delivery,1503,67.2,281.96,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
16,16,4,ChannelFlow Priority,HTR00000016,preparing,719,63.9,423.92,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
17,17,9,Oracle Logistics Cloud,HTR00000017,packed,2026,64.4,150.35,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
18,18,2,Silicon Route Express,HTR00000018,shipped,1180,18.2,254.6,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
19,19,7,FabLine Freight,HTR00000019,in_transit,595,20,58.99,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
20,20,12,ChannelFlow Priority,HTR00000020,delivered,969,41.1,113.46,2026-05-05T13:30:00Z,2026-05-05T14:30:00Z,2026-05-05T12:30:00Z
21,21,5,Oracle Logistics Cloud,HTR00000021,preparing,304,56.4,164.46,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
22,22,10,Silicon Route Express,HTR00000022,packed,2574,37.5,117.18,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
23,23,3,FabLine Freight,HTR00000023,shipped,708,25.6,495.68,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
24,24,8,ChannelFlow Priority,HTR00000024,in_transit,2546,67,45.3,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
25,25,1,Oracle Logistics Cloud,HTR00000025,out_for_delivery,960,48.5,423.09,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
26,26,6,Silicon Route Express,HTR00000026,preparing,779,5.9,304.87,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
27,27,11,FabLine Freight,HTR00000027,packed,2142,47.9,177.75,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
28,28,4,ChannelFlow Priority,HTR00000028,delivered,1485,62.4,227.42,2026-05-05T13:30:00Z,2026-05-05T14:30:00Z,2026-05-05T12:30:00Z
29,29,9,Oracle Logistics Cloud,HTR00000029,in_transit,681,30,145.58,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
30,30,2,Silicon Route Express,HTR00000030,out_for_delivery,143,14.6,369.9,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
31,31,7,FabLine Freight,HTR00000031,preparing,949,49.7,227.24,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
32,32,12,ChannelFlow Priority,HTR00000032,packed,596,60.4,47.88,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
33,33,5,Oracle Logistics Cloud,HTR00000033,shipped,529,9.9,268.92,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
34,34,10,Silicon Route Express,HTR00000034,in_transit,533,13.4,372.24,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
35,35,3,FabLine Freight,HTR00000035,out_for_delivery,1760,22.8,481.74,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
36,36,8,ChannelFlow Priority,HTR00000036,delivered,134,42.8,488.78,2026-05-05T13:30:00Z,2026-05-05T14:30:00Z,2026-05-05T12:30:00Z
37,37,1,Oracle Logistics Cloud,HTR00000037,packed,1978,24.7,278.95,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
38,38,6,Silicon Route Express,HTR00000038,shipped,2434,32.1,117.06,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
39,39,11,FabLine Freight,HTR00000039,in_transit,1955,22.9,244.52,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
40,40,4,ChannelFlow Priority,HTR00000040,out_for_delivery,1213,22.1,234.81,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
41,41,9,Oracle Logistics Cloud,HTR00000041,preparing,82,17,197.67,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
42,42,2,Silicon Route Express,HTR00000042,packed,2158,17.6,296.45,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
43,43,7,FabLine Freight,HTR00000043,shipped,2161,9.9,206.34,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
44,44,12,ChannelFlow Priority,HTR00000044,delivered,1930,28.9,149.46,2026-05-05T13:30:00Z,2026-05-05T14:30:00Z,2026-05-05T12:30:00Z
45,45,5,Oracle Logistics Cloud,HTR00000045,out_for_delivery,1133,6.1,282.3,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
46,46,10,Silicon Route Express,HTR00000046,preparing,2438,12.4,309.61,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
47,47,3,FabLine Freight,HTR00000047,packed,158,53.1,244.17,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
48,48,8,ChannelFlow Priority,HTR00000048,shipped,2392,10.6,368.6,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
49,49,1,Oracle Logistics Cloud,HTR00000049,in_transit,1916,9.7,184.01,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
50,50,6,Silicon Route Express,HTR00000050,out_for_delivery,2318,63.2,417.96,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
51,51,11,FabLine Freight,HTR00000051,preparing,2346,54.4,81.12,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
52,52,4,ChannelFlow Priority,HTR00000052,delivered,918,53.6,335.85,2026-05-05T13:30:00Z,2026-05-05T14:30:00Z,2026-05-05T12:30:00Z
53,53,9,Oracle Logistics Cloud,HTR00000053,shipped,423,62.4,165.09,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
54,54,2,Silicon Route Express,HTR00000054,in_transit,829,19.3,406.11,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
55,55,7,FabLine Freight,HTR00000055,out_for_delivery,1596,72.7,36.6,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
56,56,12,ChannelFlow Priority,HTR00000056,preparing,748,13,313.3,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
57,57,5,Oracle Logistics Cloud,HTR00000057,packed,1330,74.5,252.75,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
58,58,10,Silicon Route Express,HTR00000058,shipped,1760,8.5,362.74,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
59,59,3,FabLine Freight,HTR00000059,in_transit,1722,28.7,307.64,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
60,60,8,ChannelFlow Priority,HTR00000060,delivered,1570,49,476.03,2026-05-05T13:30:00Z,2026-05-05T14:30:00Z,2026-05-05T12:30:00Z
61,61,1,Oracle Logistics Cloud,HTR00000061,preparing,1212,34,79.7,2026-05-05T13:30:00Z,,2026-05-05T12:30:00Z
62,62,6,Silicon Route Express,HTR00000062,packed,583,14.2,139.95,2026-05-05T13:25:00Z,,2026-05-05T12:25:00Z
63,63,11,FabLine Freight,HTR00000063,shipped,1711,37.3,181.7,2026-05-05T13:20:00Z,,2026-05-05T12:20:00Z
64,64,4,ChannelFlow Priority,HTR00000064,in_transit,2643,15.6,261.17,2026-05-05T13:15:00Z,,2026-05-05T12:15:00Z
65,65,9,Oracle Logistics Cloud,HTR00000065,out_for_delivery,556,19.5,366.36,2026-05-05T13:10:00Z,,2026-05-05T12:10:00Z
66,66,2,Silicon Route Express,HTR00000066,preparing,2265,59.2,241.81,2026-05-05T13:05:00Z,,2026-05-05T12:05:00Z
67,67,7,FabLine Freight,HTR00000067,packed,2090,15.4,296.36,2026-05-05T13:00:00Z,,2026-05-05T12:00:00Z
68,68,12,ChannelFlow Priority,HTR00000068,delivered,203,36.8,264.67,2026-05-05T12:55:00Z,2026-05-05T14:30:00Z,2026-05-05T11:55:00Z
69,69,5,Oracle Logistics Cloud,HTR00000069,in_transit,1540,64.8,377.13,2026-05-05T12:50:00Z,,2026-05-05T11:50:00Z
70,70,10,Silicon Route Express,HTR00000070,out_for_delivery,1758,9.4,277.54,2026-05-05T12:45:00Z,,2026-05-05T11:45:00Z
71,71,3,FabLine Freight,HTR00000071,preparing,2071,32.5,362.33,2026-05-05T12:40:00Z,,2026-05-05T11:40:00Z
72,72,8,ChannelFlow Priority,HTR00000072,packed,1409,75.2,245.09,2026-05-05T12:35:00Z,,2026-05-05T11:35:00Z
73,73,1,Oracle Logistics Cloud,HTR00000073,shipped,2208,22.5,340.04,2026-05-05T12:30:00Z,,2026-05-05T11:30:00Z
74,74,6,Silicon Route Express,HTR00000074,in_transit,469,28,76.65,2026-05-05T12:25:00Z,,2026-05-05T11:25:00Z
75,75,11,FabLine Freight,HTR00000075,out_for_delivery,1150,63.3,128.85,2026-05-05T12:20:00Z,,2026-05-05T11:20:00Z
76,76,4,ChannelFlow Priority,HTR00000076,delivered,1798,22.1,293.78,2026-05-05T12:15:00Z,2026-05-05T14:30:00Z,2026-05-05T11:15:00Z
77,77,9,Oracle Logistics Cloud,HTR00000077,packed,405,7.7,324.26,2026-05-05T12:10:00Z,,2026-05-05T11:10:00Z
78,78,2,Silicon Route Express,HTR00000078,shipped,1383,64.6,368.31,2026-05-05T12:05:00Z,,2026-05-05T11:05:00Z
79,79,7,FabLine Freight,HTR00000079,in_transit,649,50,448.9,2026-05-05T12:00:00Z,,2026-05-05T11:00:00Z
80,80,12,ChannelFlow Priority,HTR00000080,out_for_delivery,1549,10.7,44.27,2026-05-05T11:55:00Z,,2026-05-05T10:55:00Z
81,81,5,Oracle Logistics Cloud,HTR00000081,preparing,1103,66.1,484.07,2026-05-05T11:50:00Z,,2026-05-05T10:50:00Z
82,82,10,Silicon Route Express,HTR00000082,packed,766,36,353.26,2026-05-05T11:45:00Z,,2026-05-05T10:45:00Z
83,83,3,FabLine Freight,HTR00000083,shipped,2324,21.8,464.95,2026-05-05T11:40:00Z,,2026-05-05T10:40:00Z
84,84,8,ChannelFlow Priority,HTR00000084,delivered,2242,30.7,266.73,2026-05-05T11:35:00Z,2026-05-05T14:30:00Z,2026-05-05T10:35:00Z
85,85,1,Oracle Logistics Cloud,HTR00000085,out_for_delivery,1681,49.3,126.96,2026-05-05T11:30:00Z,,2026-05-05T10:30:00Z
86,86,6,Silicon Route Express,HTR00000086,preparing,2669,29.1,298.91,2026-05-05T11:25:00Z,,2026-05-05T10:25:00Z
