forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
1,1,Bay Area (SF),2026-05-14,134,93,173,1.15,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
2,1,Bay Area (SF),2026-05-15,158,101,181,1.34,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
3,1,Bay Area (SF),2026-05-16,147,109,189,1.27,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
4,1,Bay Area (SF),2026-05-17,167,117,197,1.36,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
5,1,Bay Area (SF),2026-05-18,165,125,205,1.43,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
6,1,Bay Area (SF),2026-05-19,168,133,213,1.36,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
7,1,Bay Area (SF),2026-05-20,163,141,221,1.41,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
8,1,Bay Area (SF),2026-05-21,198,149,229,1.35,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
9,1,Bay Area (SF),2026-05-22,205,157,237,1.57,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
10,1,Bay Area (SF),2026-05-23,199,165,245,1.55,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
11,1,Bay Area (SF),2026-05-24,233,173,253,1.51,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
12,1,Bay Area (SF),2026-05-25,223,181,261,1.52,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
13,1,Bay Area (SF),2026-05-26,245,189,269,1.76,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
14,1,Bay Area (SF),2026-05-27,255,197,277,1.86,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
15,1,Bay Area (SF),2026-05-28,259,205,285,1.68,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
16,1,Bay Area (SF),2026-05-29,234,213,293,1.67,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
17,1,Bay Area (SF),2026-05-30,280,221,301,1.81,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
18,1,Bay Area (SF),2026-05-31,266,229,309,1.94,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
19,1,Bay Area (SF),2026-06-01,286,237,317,1.94,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
20,1,Bay Area (SF),2026-06-02,303,245,325,1.85,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
21,1,Bay Area (SF),2026-06-03,304,253,333,1.92,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
22,1,Bay Area (SF),2026-06-04,283,261,341,2.08,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
23,1,Bay Area (SF),2026-06-05,305,269,349,1.92,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
24,1,Bay Area (SF),2026-06-06,319,277,357,1.97,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
25,1,Bay Area (SF),2026-06-07,335,285,365,2.23,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
26,1,Bay Area (SF),2026-06-08,334,293,373,2.31,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
27,1,Bay Area (SF),2026-06-09,334,301,381,2.23,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
28,1,Bay Area (SF),2026-06-10,360,309,389,2.24,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
29,1,Bay Area (SF),2026-06-11,344,317,397,2.42,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
30,1,Bay Area (SF),2026-06-12,379,325,405,2.29,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""community_access_spike"",""navigator_referral_cluster"",""weekend_port_cutoff_effect""],""top_influencer"":""@metroline_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-13T10:00:45Z
31,1,New York Metro,2026-05-14,204,141,241,1.38,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""shipper_forum_signal"",""yard_operator_signal"",""same_day_access_pressure""],""top_influencer"":""@navigation_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T10:00:45Z
32,1,New York Metro,2026-05-15,210,147,247,1.36,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""shipper_forum_signal"",""yard_operator_signal"",""same_day_access_pressure""],""top_influencer"":""@navigation_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T10:00:45Z
33,1,New York Metro,2026-05-16,188,153,253,1.45,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""shipper_forum_signal"",""yard_operator_signal"",""same_day_access_pressure""],""top_influencer"":""@navigation_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T10:00:45Z
34,1,New York Metro,2026-05-17,190,159,259,1.48,transport_signal_v2,"{""model"":""transport_signal_v2"",""drivers"":[""shipper_forum_signal"",""yard_operator_signal"",""same_day_access_pressure""],""top_influencer"":""@navigation_nora"",""urgency_score"":79,""confidence"":""high"",""trend"":""rising""}",2026-05-13T10:00:45Z
