brand_id,brand_name,brand_slug,brand_category,headquarters_city,headquarters_lat,headquarters_lon,founded_year,annual_revenue,social_tier,created_at,updated_at
1,VitaCore Therapeutics,vitacore,Biologics Manufacturing,Boston,42.3601,-71.0589,1998,245000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
2,TrialPath CRO,solvanta,Clinical Operations,Research Triangle Park,35.9049,-78.864,2004,186000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
3,BioPure Diagnostics,biopure,Diagnostics,Chicago,41.8781,-87.6298,1987,132000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
4,GeneNova Therapeutics,genenova,Cell and Gene Therapy,Cambridge,42.3736,-71.1097,1992,221000000,luxury,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
5,ImmunoWorks Biologics,immunoworks,Biologics,South San Francisco,37.6547,-122.4077,2001,98000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
6,PreClinix Research,preclinix,Preclinical Research,San Diego,32.7157,-117.1611,1979,154000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
7,CryoGrade Logistics,cryograde,Cold Chain Logistics,Memphis,35.1495,-90.049,2016,91000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
8,SafeGx Quality Labs,safegxp,Quality and Regulatory Services,Rockville,39.084,-77.1528,2011,43000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
9,SterileProcess Systems,sterileprocess,Bioprocess Consumables,Cleveland,41.4993,-81.6944,1968,275000000,luxury,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
10,GreenLab Reagents,greenlab,Sustainable Lab Supplies,Portland,45.5152,-122.6784,2018,39000000,emerging,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
11,MedPack Components,medpack,Device Packaging,Charlotte,35.2271,-80.8431,2007,76000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
12,BioCatalyst Analytics,catalysthub,Manufacturing Analytics,Tulsa,36.154,-95.9928,1996,117000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
13,Northern BioReagents,northernreagents,Lab Reagents,Minneapolis,44.9778,-93.265,2005,52000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
14,Gulf Vaccine Fill Finish,gulfvaccine,Vaccine Manufacturing,Baton Rouge,30.4515,-91.1871,1974,203000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
15,Midwest Trial Supply,midwesttrial,Clinical Trial Supply,Indianapolis,39.7684,-86.1581,1989,88000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
16,Pacific BioServices,pacificbio,CDMO Services,Los Angeles,34.0522,-118.2437,1994,143000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
17,PurityLabs IVD,puritylabs,Diagnostics,San Jose,37.3382,-121.8863,2012,69000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
18,CryoRoute Logistics,cryoroute,Cold Chain Logistics,Memphis,35.1495,-90.049,2009,58000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
19,WaterWorks BioUtilities,waterworkslab,GMP Utilities,Milwaukee,43.0389,-87.9065,2003,74000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
20,BioBuffer,biobuffer,Bioprocess Materials,San Diego,32.7157,-117.1611,2015,46000000,emerging,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
21,ElectrolyteWorks Clinical,electrolyteworks,Diagnostic Reagents,Phoenix,33.4484,-112.074,2019,34000000,emerging,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
22,RecyBio Labs,recybio,Circular Lab Supplies,Seattle,47.6062,-122.3321,2021,21000000,emerging,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
23,GxPDesk,gxpdesk,Regulatory Content,Denver,39.7392,-104.9903,2014,18000000,emerging,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
24,PharmaPrep,pharmaprep,Pharma Excipients,Philadelphia,39.9526,-75.1652,1999,112000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
25,CleanSuite Life Sciences,cleansuite,Cleanroom Services,Cincinnati,39.1031,-84.512,2008,65000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
26,FormulationBridge,formulationbridge,Drug Product Formulation,Atlanta,33.749,-84.388,1991,126000000,premium,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
27,SpecimenShield,specimenshield,Specimen Logistics,Dallas,32.7767,-96.797,2013,47000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
28,FineBio Direct,finebiodirect,Specialty Biologics,Raleigh,35.7796,-78.6382,2006,82000000,standard,2026-05-13T09:49:19Z,2026-05-13T09:49:19Z
