influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
1,@semiconductor_manufacturing_001,Ava Chen semiconductor analyst,threads,102919,7.43,93.2,semiconductor manufacturing,San Jose,California,USA,1,2026-04-23T16:30:00Z
2,@fab_operations_002,Noah Kim fab analyst,youtube,93957,7.79,88.6,fab operations,Phoenix,Arizona,USA,0,2026-04-22T16:30:00Z
3,@wafer_starts_003,Mia Wright wafer analyst,instagram,58670,4.59,69.5,wafer starts,Dallas,Texas,USA,0,2026-04-21T16:30:00Z
4,@yield_improvement_004,Ethan Garcia yield analyst,tiktok,155219,4.46,67.9,yield improvement,Chicago,Illinois,USA,0,2026-04-20T16:30:00Z
5,@product_lifecycle_management_005,Sophia Foster product analyst,twitter,58205,7.79,54.4,product lifecycle management,Boston,Massachusetts,USA,1,2026-04-19T16:30:00Z
6,@engineering_change_orders_006,Liam Carter engineering analyst,threads,41805,6.85,83.8,engineering change orders,Atlanta,Georgia,USA,0,2026-04-18T16:30:00Z
7,@component_shortages_007,Olivia Gray component analyst,youtube,89808,5.05,54.4,component shortages,Seattle,Washington,USA,0,2026-04-17T16:30:00Z
8,@supplier_risk_008,Lucas Patel supplier analyst,instagram,220350,7.21,77.1,supplier risk,Denver,Colorado,USA,0,2026-04-16T16:30:00Z
9,@contract_manufacturing_009,Emma Morgan contract analyst,tiktok,167177,2.1,62.9,contract manufacturing,Raleigh,North Carolina,USA,1,2026-04-15T16:30:00Z
10,@field_quality_010,Mason Singh field analyst,twitter,129993,8.38,74.7,field quality,Miami,Florida,USA,0,2026-04-14T16:30:00Z
11,@warranty_analytics_011,Isabella Park warranty analyst,threads,36376,8.33,58.1,warranty analytics,New York,New York,USA,0,2026-04-23T16:30:00Z
12,@connected_products_012,Logan Reed connected analyst,youtube,218552,8.48,64.9,connected products,Los Angeles,California,USA,0,2026-04-22T16:30:00Z
13,@order_promising_013,Amelia Nguyen order analyst,instagram,113345,7.43,65.7,order promising,San Jose,California,USA,1,2026-04-21T16:30:00Z
14,@service_and_support_operations_014,Elijah Morris service analyst,tiktok,214804,2.12,58.7,service and support operations,Phoenix,Arizona,USA,0,2026-04-20T16:30:00Z
15,@semiconductor_manufacturing_015,Harper Rivera semiconductor analyst,twitter,115913,5.1,68,semiconductor manufacturing,Dallas,Texas,USA,0,2026-04-19T16:30:00Z
16,@fab_operations_016,James Ramos fab analyst,threads,43242,4.22,82.6,fab operations,Chicago,Illinois,USA,0,2026-04-18T16:30:00Z
17,@wafer_starts_017,Evelyn Nelson wafer analyst,youtube,117822,3.03,91.5,wafer starts,Boston,Massachusetts,USA,1,2026-04-17T16:30:00Z
18,@yield_improvement_018,Benjamin Brooks yield analyst,instagram,205723,4.52,56.1,yield improvement,Atlanta,Georgia,USA,0,2026-04-16T16:30:00Z
